#time(us)	value
1.000000e-03	9.782684e-01
1.020939e-03	1.042383e+00
1.042317e-03	1.019212e+00
1.064143e-03	1.021444e+00
1.086426e-03	1.017618e+00
1.109175e-03	1.027081e+00
1.132400e-03	1.064035e+00
1.156112e-03	1.027304e+00
1.180321e-03	1.020598e+00
1.205036e-03	9.894646e-01
1.230269e-03	1.007657e+00
1.256030e-03	9.955204e-01
1.282331e-03	9.860528e-01
1.309182e-03	1.057748e+00
1.336596e-03	1.092917e+00
1.364583e-03	1.080604e+00
1.393157e-03	9.290134e-01
1.422329e-03	9.712761e-01
1.452112e-03	9.874970e-01
1.482518e-03	1.014461e+00
1.513561e-03	9.904369e-01
1.545254e-03	9.572227e-01
1.577611e-03	9.988454e-01
1.610646e-03	9.809861e-01
1.644372e-03	9.731889e-01
1.678804e-03	1.112563e+00
1.713957e-03	8.784160e-01
1.749847e-03	9.370917e-01
1.786488e-03	9.275663e-01
1.823896e-03	9.897088e-01
1.862087e-03	1.064205e+00
1.901078e-03	1.064920e+00
1.940886e-03	9.882314e-01
1.981527e-03	1.016609e+00
2.023019e-03	9.905264e-01
2.065380e-03	1.043319e+00
2.108628e-03	9.572793e-01
2.152782e-03	9.141659e-01
2.197860e-03	9.770981e-01
2.243882e-03	1.041342e+00
2.290868e-03	1.005032e+00
2.338837e-03	9.914910e-01
2.387811e-03	9.603321e-01
2.437811e-03	9.858114e-01
2.488857e-03	9.934809e-01
2.540973e-03	9.683552e-01
2.594179e-03	9.069653e-01
2.648500e-03	9.102608e-01
2.703958e-03	1.118582e+00
2.760578e-03	1.041008e+00
2.818383e-03	9.256213e-01
2.877398e-03	9.871657e-01
2.937650e-03	1.009338e+00
2.999163e-03	1.102764e+00
3.061963e-03	9.436553e-01
3.126079e-03	9.894761e-01
3.191538e-03	1.055622e+00
3.258367e-03	9.917249e-01
3.326596e-03	1.032796e+00
3.396253e-03	1.060945e+00
3.467369e-03	1.001468e+00
3.539973e-03	9.754745e-01
3.614099e-03	9.983882e-01
3.689776e-03	9.739613e-01
3.767038e-03	8.915131e-01
3.845918e-03	9.777385e-01
3.926449e-03	1.026100e+00
4.008667e-03	9.592530e-01
4.092607e-03	1.063995e+00
4.178304e-03	1.003198e+00
4.265795e-03	1.045697e+00
4.355119e-03	8.799490e-01
4.446313e-03	9.779945e-01
4.539416e-03	9.881138e-01
4.634469e-03	1.060911e+00
4.731513e-03	1.024612e+00
4.830588e-03	9.628451e-01
4.931738e-03	9.463319e-01
5.035006e-03	9.345382e-01
5.140437e-03	1.054236e+00
5.248075e-03	1.013433e+00
5.357967e-03	9.655791e-01
5.470160e-03	9.559645e-01
