#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
0	1.030717e-02	1.000000e-01	9.849864e-01	5.100000e-01	-2.244090e+03	-2.228803e+03	-1.528686e+01
1	5.372586e-03	7.219746e-02	9.849864e-01	5.000000e-01	-2.508798e+03	-2.493264e+03	-1.553364e+01
2	5.946025e-03	7.219746e-02	9.362861e-01	5.000000e-01	-2.515178e+03	-2.492400e+03	-2.277859e+01
3	1.393976e-03	3.495716e-02	9.362861e-01	5.000000e-01	-2.800664e+03	-2.777893e+03	-2.277033e+01
4	1.448833e-03	3.495716e-02	9.183897e-01	5.000000e-01	-2.803351e+03	-2.777805e+03	-2.554637e+01
5	1.651098e-03	3.731758e-02	9.183897e-01	4.900000e-01	-2.809218e+03	-2.783356e+03	-2.586207e+01
6	1.668572e-03	3.731758e-02	9.135682e-01	4.900000e-01	-2.809958e+03	-2.783332e+03	-2.662582e+01
7	1.898570e-03	3.731758e-02	8.564464e-01	5.000000e-01	-2.818576e+03	-2.782896e+03	-3.568040e+01
8	2.133316e-03	3.731758e-02	8.079525e-01	4.900000e-01	-2.827053e+03	-2.782374e+03	-4.467934e+01
9	2.486432e-03	3.731758e-02	7.483851e-01	4.900000e-01	-2.837732e+03	-2.781576e+03	-5.615611e+01
10	3.231599e-03	3.731758e-02	6.564547e-01	5.000000e-01	-2.854345e+03	-2.778779e+03	-7.556587e+01
11	4.178403e-03	3.731758e-02	5.773090e-01	5.000000e-01	-2.870847e+03	-2.775283e+03	-9.556465e+01
12	4.396305e-03	3.731758e-02	5.628201e-01	5.000000e-01	-2.873919e+03	-2.774343e+03	-9.957599e+01
13	5.214837e-03	3.731758e-02	5.167650e-01	5.100000e-01	-2.883067e+03	-2.770743e+03	-1.123237e+02
14	6.331124e-03	3.731758e-02	4.690003e-01	5.100000e-01	-2.892428e+03	-2.764510e+03	-1.279179e+02
15	7.047436e-03	3.731758e-02	4.445268e-01	5.100000e-01	-2.896489e+03	-2.759853e+03	-1.366363e+02
16	7.334297e-03	3.731758e-02	4.357468e-01	5.100000e-01	-2.897688e+03	-2.757789e+03	-1.398989e+02
17	1.188606e-02	3.731758e-02	3.422902e-01	5.200000e-01	-2.894901e+03	-2.716068e+03	-1.788332e+02
18	9.127434e-03	3.731758e-02	3.906062e-01	5.300000e-01	-2.900776e+03	-2.745051e+03	-1.557246e+02
19	1.067850e-02	3.731758e-02	3.611256e-01	5.300000e-01	-2.899571e+03	-2.730878e+03	-1.686935e+02
20	7.998634e-03	3.731758e-02	4.172589e-01	5.200000e-01	-2.899471e+03	-2.753500e+03	-1.459712e+02
21	1.093453e-02	3.731758e-02	3.568727e-01	5.100000e-01	-2.898642e+03	-2.725616e+03	-1.730257e+02
22	9.814329e-03	3.535441e-02	3.568727e-01	5.200000e-01	-2.900277e+03	-2.728440e+03	-1.718361e+02
23	7.571422e-03	3.535441e-02	4.063076e-01	5.100000e-01	-2.900063e+03	-2.748661e+03	-1.514026e+02
24	1.061803e-02	3.535441e-02	3.431008e-01	5.200000e-01	-2.898272e+03	-2.719850e+03	-1.784215e+02
25	9.616271e-03	3.535441e-02	3.605291e-01	5.100000e-01	-2.900603e+03	-2.729299e+03	-1.713042e+02
26	9.503041e-03	3.535441e-02	3.626706e-01	5.000000e-01	-2.900787e+03	-2.729318e+03	-1.714683e+02
27	9.568849e-03	3.535441e-02	3.614213e-01	5.100000e-01	-2.900686e+03	-2.729796e+03	-1.708899e+02
28	9.038429e-03	3.535441e-02	3.718752e-01	5.000000e-01	-2.901382e+03	-2.734125e+03	-1.672565e+02
