#rate	A_maxlik	<A>	stdA	CI_5pc	CI_95pc
inf	1.191248e-01	1.083356e-01	5.157981e-02	9.481990e-02	1.191398e-01
1.000000e+00	0.000000e+00	1.099884e-02	5.176441e-02	0.000000e+00	2.313212e-02
8.128305e-01	0.000000e+00	1.966508e-03	1.458493e-02	0.000000e+00	6.752026e-03
6.606934e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.370318e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.365158e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.548134e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.884032e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.344229e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.548817e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.258925e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.023293e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.760830e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.495409e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.466836e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.630781e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.951209e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.398833e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.949845e-02	0.000000e+00	4.932186e-06	1.424575e-04	0.000000e+00	0.000000e+00
1.584893e-02	0.000000e+00	2.102769e-04	4.075061e-03	0.000000e+00	7.885742e-04
1.288250e-02	0.000000e+00	9.188557e-04	8.155574e-03	0.000000e+00	3.403578e-03
1.047129e-02	0.000000e+00	7.515724e-03	2.657465e-02	0.000000e+00	1.246026e-02
8.511380e-03	4.086397e-02	3.977491e-02	4.195058e-02	3.023340e-02	5.288103e-02
6.918310e-03	7.169198e-02	5.712979e-02	5.274352e-02	4.493455e-02	7.239855e-02
5.623413e-03	6.614865e-02	5.705914e-02	2.940474e-02	5.064631e-02	6.643778e-02
4.570882e-03	5.432602e-02	5.047438e-02	1.155963e-02	4.813643e-02	5.438822e-02
3.715352e-03	4.051329e-02	4.085095e-02	8.403346e-03	3.824463e-02	4.242307e-02
3.019952e-03	2.597167e-02	2.985130e-02	1.735832e-02	2.569257e-02	3.381496e-02
2.454709e-03	1.187777e-02	1.864361e-02	2.563369e-02	1.147204e-02	2.441413e-02
1.995262e-03	0.000000e+00	8.352893e-03	3.043033e-02	0.000000e+00	1.519633e-02
1.621810e-03	0.000000e+00	2.528055e-03	1.513070e-02	0.000000e+00	6.952481e-03
1.318257e-03	0.000000e+00	1.536619e-04	2.410138e-03	0.000000e+00	8.215774e-04
1.071519e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.709636e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.079458e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.677351e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.801894e-04	0.000000e+00	2.360530e-04	2.812907e-03	0.000000e+00	1.108052e-03
3.090295e-04	0.000000e+00	1.595853e-03	1.111343e-02	0.000000e+00	5.003494e-03
2.511886e-04	0.000000e+00	7.144290e-03	2.439256e-02	0.000000e+00	1.133973e-02
2.041738e-04	1.975039e-02	2.178452e-02	1.636818e-02	1.902851e-02	2.758123e-02
1.659587e-04	4.315531e-02	3.329225e-02	3.452204e-02	2.581882e-02	4.379457e-02
1.348963e-04	4.636489e-02	3.702250e-02	3.137605e-02	3.020743e-02	4.680691e-02
1.096478e-04	4.330906e-02	3.663284e-02	2.216213e-02	3.171896e-02	4.355312e-02
8.912509e-05	3.646834e-02	3.308421e-02	1.120817e-02	3.047361e-02	3.651993e-02
7.244360e-05	2.703840e-02	2.709614e-02	1.555673e-03	2.673710e-02	2.753568e-02
5.888437e-05	1.629111e-02	1.951140e-02	1.065352e-02	1.601864e-02	2.149220e-02
4.786301e-05	5.499153e-03	1.124410e-02	1.877414e-02	5.130338e-03	1.500213e-02
3.890451e-05	0.000000e+00	4.079871e-03	1.680026e-02	0.000000e+00	8.116177e-03
3.162278e-05	0.000000e+00	2.720525e-04	3.132960e-03	0.000000e+00	1.498282e-03
2.570396e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.089296e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.698244e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.380384e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.122018e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.120108e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.413102e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.025596e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.897788e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.981072e-06	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.235937e-06	0.000000e+00	8.339678e-04	6.408853e-03	0.000000e+00	3.068357e-03
2.630268e-06	0.000000e+00	5.161924e-03	2.465846e-02	0.000000e+00	1.095716e-02
2.137962e-06	0.000000e+00	1.063619e-02	3.875300e-02	0.000000e+00	1.811374e-02
1.737801e-06	7.868515e-03	1.918632e-02	3.228612e-02	5.922212e-03	2.416220e-02
1.412538e-06	3.556104e-02	3.125222e-02	1.509574e-02	2.849036e-02	3.633802e-02
1.148154e-06	4.887280e-02	3.820995e-02	3.496092e-02	3.149167e-02	4.972053e-02
9.332543e-07	4.982437e-02	3.955337e-02	3.505612e-02	3.221904e-02	5.022868e-02
7.585776e-07	4.330195e-02	3.590997e-02	2.671952e-02	2.966433e-02	4.345875e-02
6.165950e-07	3.175985e-02	2.767706e-02	1.637901e-02	2.313416e-02	3.186636e-02
5.011872e-07	1.623854e-02	1.511978e-02	7.534345e-03	1.232648e-02	1.656238e-02
4.073803e-07	0.000000e+00	4.666362e-05	9.325085e-04	0.000000e+00	3.732113e-04
3.311311e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.691535e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.187762e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.778279e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.445440e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.174898e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.549926e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.762471e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.309573e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.128614e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.168694e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.388442e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.754229e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.238721e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.819701e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.479108e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e-08	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.772372e-09	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.943282e-09	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.456542e-09	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
