#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
0	3.325530e-03	5.766741e-02	1.000000e+00	4.900000e-01	-2.638481e+03	-2.639371e+03	8.903063e-01
1	3.354857e-03	5.766741e-02	9.956195e-01	4.800000e-01	-2.639227e+03	-2.639243e+03	1.562328e-02
2	3.416780e-03	5.766741e-02	9.865564e-01	4.700000e-01	-2.640773e+03	-2.638967e+03	-1.806162e+00
3	1.101466e-03	3.274217e-02	9.865564e-01	4.700000e-01	-2.767817e+03	-2.766022e+03	-1.795453e+00
4	1.377007e-03	3.660918e-02	9.865564e-01	4.800000e-01	-2.786816e+03	-2.785020e+03	-1.796758e+00
5	1.406237e-03	3.660918e-02	9.762494e-01	4.800000e-01	-2.788766e+03	-2.784878e+03	-3.888274e+00
6	1.449798e-03	3.660918e-02	9.614709e-01	4.700000e-01	-2.791586e+03	-2.784661e+03	-6.925276e+00
7	1.472241e-03	3.660918e-02	9.541145e-01	4.600000e-01	-2.793000e+03	-2.784546e+03	-8.454154e+00
8	1.483641e-03	3.660918e-02	9.504418e-01	4.600000e-01	-2.793709e+03	-2.784487e+03	-9.221780e+00
9	1.461208e-03	3.660918e-02	9.577098e-01	4.700000e-01	-2.792308e+03	-2.784603e+03	-7.705513e+00
10	1.501718e-03	3.660918e-02	9.447042e-01	4.700000e-01	-2.794820e+03	-2.784393e+03	-1.042683e+01
11	1.489197e-03	3.660918e-02	9.486672e-01	4.700000e-01	-2.794052e+03	-2.784459e+03	-9.593719e+00
12	1.490394e-03	3.660918e-02	9.482862e-01	4.700000e-01	-2.794126e+03	-2.784452e+03	-9.673665e+00
13	1.502126e-03	3.660918e-02	9.445757e-01	4.800000e-01	-2.794845e+03	-2.784391e+03	-1.045388e+01
14	1.514919e-03	3.660918e-02	9.405791e-01	4.900000e-01	-2.795622e+03	-2.784324e+03	-1.129763e+01
15	1.604837e-03	3.767999e-02	9.405791e-01	4.800000e-01	-2.795954e+03	-2.784656e+03	-1.129810e+01
16	1.644504e-03	3.767999e-02	9.291659e-01	4.800000e-01	-2.798171e+03	-2.784444e+03	-1.372713e+01
17	1.578177e-03	3.691230e-02	9.291659e-01	4.700000e-01	-2.798118e+03	-2.784391e+03	-1.372677e+01
18	1.585548e-03	3.691230e-02	9.270035e-01	4.700000e-01	-2.798541e+03	-2.784351e+03	-1.419028e+01
19	1.584896e-03	3.691230e-02	9.271941e-01	4.800000e-01	-2.798504e+03	-2.784354e+03	-1.414937e+01
20	1.571980e-03	3.691230e-02	9.309955e-01	4.900000e-01	-2.797760e+03	-2.784424e+03	-1.333543e+01
21	1.563760e-03	3.691230e-02	9.334392e-01	4.900000e-01	-2.797282e+03	-2.784468e+03	-1.281391e+01
22	1.609274e-03	3.691230e-02	9.201446e-01	4.900000e-01	-2.799888e+03	-2.784221e+03	-1.566749e+01
23	1.603371e-03	3.691230e-02	9.218368e-01	4.800000e-01	-2.799555e+03	-2.784253e+03	-1.530203e+01
24	1.675864e-03	3.691230e-02	9.016784e-01	4.900000e-01	-2.803545e+03	-2.783846e+03	-1.969884e+01
25	1.809553e-03	3.835635e-02	9.016784e-01	4.900000e-01	-2.802916e+03	-2.783217e+03	-1.969960e+01
26	1.798355e-03	3.835635e-02	9.044812e-01	5.000000e-01	-2.802363e+03	-2.783281e+03	-1.908253e+01
27	1.854207e-03	3.835635e-02	8.907549e-01	5.000000e-01	-2.805080e+03	-2.782957e+03	-2.212254e+01
28	1.869993e-03	3.835635e-02	8.869872e-01	5.000000e-01	-2.805829e+03	-2.782864e+03	-2.296500e+01
29	1.811458e-03	3.775127e-02	8.869872e-01	4.900000e-01	-2.806459e+03	-2.783494e+03	-2.296466e+01
30	1.834119e-03	3.775127e-02	8.814908e-01	4.900000e-01	-2.807559e+03	-2.783359e+03	-2.419994e+01
31	1.882381e-03	3.775127e-02	8.701173e-01	5.000000e-01	-2.809845e+03	-2.783065e+03	-2.678015e+01
32	1.674292e-03	3.560355e-02	8.701173e-01	5.100000e-01	-2.807727e+03	-2.780948e+03	-2.677889e+01
33	1.710274e-03	3.598410e-02	8.701173e-01	5.100000e-01	-2.808659e+03	-2.781879e+03	-2.677911e+01
34	1.711893e-03	3.598410e-02	8.697056e-01	5.100000e-01	-2.808743e+03	-2.781869e+03	-2.687311e+01
35	1.946189e-03	3.836762e-02	8.697056e-01	5.000000e-01	-2.809268e+03	-2.782393e+03	-2.687454e+01
36	1.953189e-03	3.836762e-02	8.681460e-01	5.100000e-01	-2.809581e+03	-2.782350e+03	-2.723110e+01
37	1.995785e-03	3.836762e-02	8.588316e-01	5.000000e-01	-2.811457e+03	-2.782084e+03	-2.937362e+01
38	2.000565e-03	3.836762e-02	8.578048e-01	5.100000e-01	-2.811664e+03	-2.782053e+03	-2.961118e+01
39	1.946391e-03	3.784456e-02	8.578048e-01	5.000000e-01	-2.812267e+03	-2.782656e+03	-2.961084e+01
40	1.977713e-03	3.784456e-02	8.509849e-01	4.900000e-01	-2.813652e+03	-2.782456e+03	-3.119586e+01
