#rate	A_maxlik	<A>	stdA	CI_5pc	CI_95pc
inf	1.210984e-01	1.210959e-01	1.599836e-05	1.210920e-01	1.210990e-01
1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.128305e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.606934e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.370318e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.365158e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.548134e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.884032e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.344229e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.548817e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.258925e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.023293e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.760830e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.495409e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.466836e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.630781e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.951209e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.398833e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.949845e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.288250e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.047129e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.511380e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.918310e-03	1.408462e-02	1.428914e-02	1.401095e-03	1.401990e-02	1.463730e-02
5.623413e-03	1.533732e-01	1.533106e-01	1.617856e-03	1.530453e-01	1.538269e-01
4.570882e-03	9.995679e-02	9.986959e-02	5.690783e-04	9.973580e-02	9.998250e-02
3.715352e-03	4.573737e-02	4.561719e-02	1.742121e-03	4.473847e-02	4.575088e-02
3.019952e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.454709e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.995262e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.621810e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
