#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
0	3.582859e-01	2.992850e-02	5.000000e-02	4.900000e-01	-3.031372e+03	-2.740973e+03	-2.903996e+02
1	3.636537e-01	3.015186e-02	5.000000e-02	4.800000e-01	-3.035362e+03	-2.744917e+03	-2.904452e+02
2	3.658726e-01	3.015186e-02	4.984815e-02	4.900000e-01	-3.035595e+03	-2.744898e+03	-2.906971e+02
3	3.743619e-01	3.049965e-02	4.984815e-02	4.800000e-01	-3.041420e+03	-2.750653e+03	-2.907674e+02
4	3.731957e-01	3.049965e-02	4.992598e-02	4.900000e-01	-3.041301e+03	-2.750663e+03	-2.906380e+02
5	3.936559e-01	3.049965e-02	4.861122e-02	4.800000e-01	-3.043338e+03	-2.750496e+03	-2.928421e+02
6	4.004570e-01	3.076199e-02	4.861122e-02	4.900000e-01	-3.047435e+03	-2.754539e+03	-2.928966e+02
7	4.149600e-01	3.076199e-02	4.775417e-02	4.800000e-01	-3.048781e+03	-2.754424e+03	-2.943567e+02
8	4.200811e-01	3.095123e-02	4.775417e-02	4.900000e-01	-3.051584e+03	-2.757187e+03	-2.943967e+02
9	4.262871e-01	3.117902e-02	4.775417e-02	4.800000e-01	-3.054793e+03	-2.760349e+03	-2.944446e+02
10	4.261151e-01	3.117902e-02	4.776381e-02	4.900000e-01	-3.054778e+03	-2.760350e+03	-2.944280e+02
11	4.251772e-01	3.114468e-02	4.776381e-02	4.900000e-01	-3.054306e+03	-2.759885e+03	-2.944209e+02
12	4.343430e-01	3.147860e-02	4.776381e-02	5.000000e-01	-3.058734e+03	-2.764244e+03	-2.944902e+02
13	4.282561e-01	3.147860e-02	4.810205e-02	5.100000e-01	-3.058199e+03	-2.764289e+03	-2.939102e+02
14	4.384894e-01	3.147860e-02	4.753744e-02	5.200000e-01	-3.059093e+03	-2.764213e+03	-2.948799e+02
15	4.463224e-01	3.175851e-02	4.753744e-02	5.300000e-01	-3.062528e+03	-2.767590e+03	-2.949377e+02
16	4.500820e-01	3.175851e-02	4.733848e-02	5.400000e-01	-3.062844e+03	-2.767563e+03	-2.952816e+02
17	4.480663e-01	3.168732e-02	4.733848e-02	5.300000e-01	-3.061994e+03	-2.766727e+03	-2.952668e+02
18	4.554976e-01	3.194901e-02	4.733848e-02	5.200000e-01	-3.065043e+03	-2.769722e+03	-2.953208e+02
19	4.651001e-01	3.194901e-02	4.684726e-02	5.100000e-01	-3.065828e+03	-2.769653e+03	-2.961747e+02
20	5.002700e-01	3.313496e-02	4.684726e-02	5.100000e-01	-3.077181e+03	-2.780765e+03	-2.964160e+02
21	5.120207e-01	3.313496e-02	4.630657e-02	5.200000e-01	-3.078055e+03	-2.780688e+03	-2.973674e+02
22	5.138221e-01	3.313496e-02	4.622533e-02	5.200000e-01	-3.078187e+03	-2.780676e+03	-2.975110e+02
23	5.144440e-01	3.315500e-02	4.622533e-02	5.300000e-01	-3.078347e+03	-2.780832e+03	-2.975151e+02
24	5.140754e-01	3.314312e-02	4.622533e-02	5.200000e-01	-3.078252e+03	-2.780740e+03	-2.975127e+02
25	5.059720e-01	3.314312e-02	4.659402e-02	5.300000e-01	-3.077655e+03	-2.780793e+03	-2.968623e+02
26	5.096185e-01	3.314312e-02	4.642702e-02	5.200000e-01	-3.077925e+03	-2.780769e+03	-2.971565e+02
27	5.405713e-01	3.413479e-02	4.642702e-02	5.200000e-01	-3.084633e+03	-2.787281e+03	-2.973523e+02
28	5.483198e-01	3.413479e-02	4.609781e-02	5.200000e-01	-3.085170e+03	-2.787234e+03	-2.979365e+02
29	5.586161e-01	3.413479e-02	4.567100e-02	5.300000e-01	-3.085869e+03	-2.787171e+03	-2.986981e+02
30	5.597498e-01	3.413479e-02	4.562473e-02	5.300000e-01	-3.085945e+03	-2.787164e+03	-2.987809e+02
31	5.631891e-01	3.413479e-02	4.548521e-02	5.400000e-01	-3.086174e+03	-2.787143e+03	-2.990311e+02
32	5.579495e-01	3.397564e-02	4.548521e-02	5.500000e-01	-3.085250e+03	-2.786251e+03	-2.989992e+02
33	5.571157e-01	3.397564e-02	4.551923e-02	5.400000e-01	-3.085195e+03	-2.786256e+03	-2.989381e+02
34	5.499941e-01	3.375778e-02	4.551923e-02	5.300000e-01	-3.083837e+03	-2.784943e+03	-2.988941e+02
35	5.592681e-01	3.375778e-02	4.514024e-02	5.300000e-01	-3.084460e+03	-2.784886e+03	-2.995748e+02
36	5.529048e-01	3.356519e-02	4.514024e-02	5.300000e-01	-3.083168e+03	-2.783633e+03	-2.995351e+02
37	5.512480e-01	3.351486e-02	4.514024e-02	5.300000e-01	-3.082816e+03	-2.783291e+03	-2.995246e+02
38	5.492700e-01	3.351486e-02	4.522145e-02	5.300000e-01	-3.082683e+03	-2.783304e+03	-2.993786e+02
39	5.508852e-01	3.356410e-02	4.522145e-02	5.200000e-01	-3.083027e+03	-2.783638e+03	-2.993888e+02
