#rate	A_maxlik	<A>	stdA	CI_5pc	CI_95pc
inf	8.790181e-02	8.920481e-02	3.435074e-01	7.943568e-02	1.180849e-01
1.000000e+00	2.652613e-02	2.548532e-02	1.177145e-01	1.495162e-02	2.819817e-02
8.128305e-01	1.914858e-02	1.803110e-02	1.455173e-01	5.181603e-03	2.157314e-02
6.606934e-01	1.219611e-02	1.110862e-02	1.580805e-01	-2.709119e-03	1.509474e-02
5.370318e-01	6.102557e-03	5.178851e-03	1.505744e-01	-7.845584e-03	9.096679e-03
4.365158e-01	1.269407e-03	6.561474e-04	1.200702e-01	-9.563956e-03	3.910812e-03
3.548134e-01	-2.037360e-03	-2.206933e-03	6.745333e-02	-7.683058e-03	-2.029150e-04
2.884032e-01	-3.793126e-03	-3.435826e-03	1.138288e-02	-4.031955e-03	-2.759631e-03
2.344229e-01	-4.277214e-03	-3.398819e-03	7.815696e-02	-4.963006e-03	3.803960e-03
1.905461e-01	-4.041165e-03	-2.762459e-03	1.412801e-01	-5.971354e-03	9.942210e-03
1.548817e-01	-3.759021e-03	-2.310839e-03	1.776606e-01	-6.536720e-03	1.345970e-02
1.258925e-01	-3.995436e-03	-2.671379e-03	1.762963e-01	-6.999700e-03	1.279307e-02
1.023293e-01	-4.987324e-03	-4.061160e-03	1.363184e-01	-7.523040e-03	7.683550e-03
8.317638e-02	-6.546164e-03	-6.183501e-03	6.838925e-02	-8.024624e-03	-6.097421e-04
6.760830e-02	-8.130510e-03	-8.335488e-03	1.700011e-02	-9.731320e-03	-7.861198e-03
5.495409e-02	-9.047355e-03	-9.672158e-03	8.222429e-02	-1.710561e-02	-7.712430e-03
4.466836e-02	-8.680060e-03	-9.492154e-03	1.288180e-01	-2.081827e-02	-6.183350e-03
3.630781e-02	-6.646318e-03	-7.417133e-03	1.476130e-01	-2.007683e-02	-3.435956e-03
2.951209e-02	-2.849436e-03	-3.421359e-03	1.405868e-01	-1.512999e-02	5.412805e-04
2.398833e-02	2.547702e-03	2.238062e-03	1.138470e-01	-6.869821e-03	5.590023e-03
1.949845e-02	9.172674e-03	9.107753e-03	7.458472e-02	3.620704e-03	1.140947e-02
1.584893e-02	1.648968e-02	1.659950e-02	3.040434e-02	1.445496e-02	1.758589e-02
1.288250e-02	2.384919e-02	2.403954e-02	2.088451e-02	2.362827e-02	2.601143e-02
1.047129e-02	3.055792e-02	3.073489e-02	5.861921e-02	2.901871e-02	3.575157e-02
8.511380e-03	3.596822e-02	3.606149e-02	8.930676e-02	3.327572e-02	4.327135e-02
6.918310e-03	3.956012e-02	3.954127e-02	1.095120e-01	3.601367e-02	4.804975e-02
5.623413e-03	4.098670e-02	4.087085e-02	1.185238e-01	3.697996e-02	4.984248e-02
4.570882e-03	4.008634e-02	3.991198e-02	1.157007e-01	3.607045e-02	4.852221e-02
3.715352e-03	3.689667e-02	3.669821e-02	1.001263e-01	3.334145e-02	4.404362e-02
3.019952e-03	3.168758e-02	3.148447e-02	7.204511e-02	2.902733e-02	3.664107e-02
2.454709e-03	2.498028e-02	2.479049e-02	3.475815e-02	2.354513e-02	2.706739e-02
1.995262e-03	1.750175e-02	1.736106e-02	7.992629e-03	1.658123e-02	1.750500e-02
1.621810e-03	1.006723e-02	1.002931e-02	4.347873e-02	6.577819e-03	1.139462e-02
1.318257e-03	3.441134e-03	3.552372e-03	7.197603e-02	-1.830763e-03	5.954153e-03
1.071519e-03	-1.764597e-03	-1.498036e-03	9.091770e-02	-8.018657e-03	1.632480e-03
8.709636e-04	-5.131933e-03	-4.760928e-03	1.013590e-01	-1.186107e-02	-1.216280e-03
7.079458e-04	-6.432344e-03	-6.052453e-03	1.048492e-01	-1.348623e-02	-2.389021e-03
5.754399e-04	-5.607674e-03	-5.321943e-03	1.018193e-01	-1.282056e-02	-1.830076e-03
4.677351e-04	-2.761714e-03	-2.636822e-03	9.101633e-02	-9.656471e-03	3.716458e-04
3.801894e-04	1.833588e-03	1.797426e-03	7.009031e-02	-3.897852e-03	3.982773e-03
3.090295e-04	7.731352e-03	7.604023e-03	3.741364e-02	4.364210e-03	8.630360e-03
2.511886e-04	1.431706e-02	1.421249e-02	1.256132e-02	1.380520e-02	1.515510e-02
2.041738e-04	2.084004e-02	2.086583e-02	6.015771e-02	1.896320e-02	2.548672e-02
1.659587e-04	2.648447e-02	2.668482e-02	1.071460e-01	2.344564e-02	3.537747e-02
1.348963e-04	3.049330e-02	3.081414e-02	1.384849e-01	2.670095e-02	4.223843e-02
1.096478e-04	3.232294e-02	3.262293e-02	1.442537e-01	2.831693e-02	4.454059e-02
8.912509e-05	3.176590e-02	3.187054e-02	1.214006e-01	2.811299e-02	4.174550e-02
7.244360e-05	2.898641e-02	2.875853e-02	7.535810e-02	2.616486e-02	3.449943e-02
5.888437e-05	2.446670e-02	2.386452e-02	2.261671e-02	2.277423e-02	2.519496e-02
4.786301e-05	1.889546e-02	1.800170e-02	4.464662e-02	1.372064e-02	1.886957e-02
3.890451e-05	1.302261e-02	1.203460e-02	8.112512e-02	4.519675e-03	1.357177e-02
3.162278e-05	7.500319e-03	6.675558e-03	9.273689e-02	-1.677068e-03	8.787730e-03
2.570396e-05	2.757921e-03	2.326929e-03	7.904104e-02	-4.511704e-03	4.423564e-03
2.089296e-05	-1.028393e-03	-9.445406e-04	4.988810e-02	-4.761440e-03	7.172902e-04
1.698244e-05	-3.858339e-03	-3.283951e-03	2.398672e-02	-4.784130e-03	-2.207059e-03
1.380384e-05	-5.785488e-03	-4.866661e-03	2.661936e-02	-6.108912e-03	-2.894211e-03
1.122018e-05	-6.831978e-03	-5.776676e-03	3.429416e-02	-7.008311e-03	-2.706265e-03
9.120108e-06	-6.969575e-03	-5.985475e-03	3.040087e-02	-7.133483e-03	-3.264702e-03
7.413102e-06	-6.142410e-03	-5.391982e-03	1.878987e-02	-6.386361e-03	-4.121978e-03
6.025596e-06	-4.301701e-03	-3.877933e-03	1.866746e-02	-4.912306e-03	-2.987672e-03
4.897788e-06	-1.444419e-03	-1.366166e-03	3.344467e-02	-3.960589e-03	-2.282699e-04
3.981072e-06	2.346610e-03	2.121158e-03	4.477241e-02	-1.760095e-03	3.336413e-03
3.235937e-06	6.876000e-03	6.424346e-03	4.720637e-02	2.122225e-03	7.487191e-03
2.630268e-06	1.183985e-02	1.125118e-02	4.028631e-02	7.421233e-03	1.196217e-02
2.137962e-06	1.685985e-02	1.622204e-02	2.632949e-02	1.363339e-02	1.686486e-02
1.737801e-06	2.152782e-02	2.092495e-02	1.525233e-02	2.012432e-02	2.182767e-02
1.412538e-06	2.544358e-02	2.495550e-02	3.032028e-02	2.364353e-02	2.673015e-02
1.148154e-06	2.824680e-02	2.794398e-02	5.467096e-02	2.594583e-02	3.176017e-02
9.332543e-07	2.965029e-02	2.958353e-02	7.741457e-02	2.704552e-02	3.559316e-02
7.585776e-07	2.947121e-02	2.965769e-02	9.362291e-02	2.682748e-02	3.733141e-02
6.165950e-07	2.765135e-02	2.805804e-02	9.860314e-02	2.528125e-02	3.643826e-02
5.011872e-07	2.427178e-02	2.480268e-02	8.777601e-02	2.250632e-02	3.248539e-02
4.073803e-07	1.957736e-02	2.008038e-02	5.836173e-02	1.872005e-02	2.536451e-02
3.311311e-07	1.400674e-02	1.431367e-02	1.381771e-02	1.396402e-02	1.561967e-02
2.691535e-07	8.187235e-03	8.178988e-03	4.515639e-02	4.653971e-03	9.601281e-03
2.187762e-07	2.850904e-03	2.515832e-03	9.546419e-02	-5.467475e-03	5.237790e-03
1.778279e-07	-1.325445e-03	-1.876415e-03	1.269168e-01	-1.264681e-02	1.643068e-03
1.445440e-07	-3.897783e-03	-4.473097e-03	1.301009e-01	-1.552893e-02	-8.679711e-04
1.174898e-07	-4.770886e-03	-5.178687e-03	1.049610e-01	-1.401671e-02	-2.203129e-03
9.549926e-08	-4.200363e-03	-4.326609e-03	6.050206e-02	-9.253861e-03	-2.495284e-03
7.762471e-08	-2.681674e-03	-2.526475e-03	1.210694e-02	-3.342281e-03	-2.037491e-03
6.309573e-08	-7.798293e-04	-4.359269e-04	3.507845e-02	-1.181631e-03	2.715403e-03
5.128614e-08	1.021145e-03	1.430451e-03	6.517187e-02	-2.461218e-04	7.046468e-03
4.168694e-08	2.389648e-03	2.773061e-03	8.145957e-02	5.326204e-04	9.601818e-03
3.388442e-08	3.136056e-03	3.461463e-03	8.631250e-02	1.002128e-03	1.056164e-02
2.754229e-08	3.169186e-03	3.447535e-03	8.210085e-02	1.075604e-03	1.015688e-02
2.238721e-08	2.472482e-03	2.718869e-03	6.944268e-02	7.223788e-04	8.436754e-03
1.819701e-08	1.114093e-03	1.314851e-03	4.775593e-02	-2.536276e-05	5.332213e-03
1.479108e-08	-7.300023e-04	-6.257296e-04	1.711797e-02	-1.061276e-03	8.941514e-04
1.202264e-08	-2.765430e-03	-2.825699e-03	2.130569e-02	-4.433787e-03	-2.202933e-03
9.772372e-09	-4.600822e-03	-4.871763e-03	5.978574e-02	-9.818217e-03	-3.209357e-03
7.943282e-09	-5.816981e-03	-6.286333e-03	9.070463e-02	-1.394144e-02	-3.825860e-03
6.456542e-09	-6.078259e-03	-6.665901e-03	1.054619e-01	-1.565996e-02	-3.851933e-03
5.248075e-09	-5.240917e-03	-5.823989e-03	9.938125e-02	-1.435931e-02	-3.205734e-03
4.265795e-09	-3.399728e-03	-3.855202e-03	7.336561e-02	-1.020297e-02	-1.951410e-03
3.467369e-09	-8.508679e-04	-1.089055e-03	3.289830e-02	-3.991605e-03	-2.767048e-04
2.818383e-09	1.999354e-03	2.024448e-03	1.510860e-02	1.562187e-03	3.170256e-03
2.290868e-09	4.731563e-03	5.029966e-03	6.266999e-02	3.300467e-03	1.029036e-02
1.862087e-09	6.986030e-03	7.543677e-03	1.049308e-01	4.711237e-03	1.646362e-02
1.513561e-09	8.507724e-03	9.292978e-03	1.377250e-01	5.635640e-03	2.109939e-02
1.230269e-09	9.170697e-03	1.013481e-02	1.584111e-01	5.999525e-03	2.382189e-02
