#time(us)	value
1.000000e+03	9.062202e-01
1.013911e+03	9.001877e-01
1.028016e+03	8.755947e-01
1.042317e+03	8.422940e-01
1.056818e+03	8.435585e-01
1.071519e+03	8.727691e-01
1.086426e+03	8.476208e-01
1.101539e+03	8.629867e-01
1.116863e+03	8.606865e-01
1.132400e+03	8.338068e-01
1.148154e+03	8.521422e-01
1.164126e+03	8.280120e-01
1.180321e+03	9.265169e-01
1.196741e+03	7.930502e-01
1.213389e+03	8.544106e-01
1.230269e+03	8.634700e-01
1.247384e+03	8.804336e-01
1.264736e+03	8.527308e-01
1.282331e+03	7.587126e-01
1.300170e+03	9.525781e-01
1.318257e+03	7.898454e-01
1.336596e+03	8.668043e-01
1.355189e+03	9.548192e-01
1.374042e+03	8.523481e-01
1.393157e+03	9.271576e-01
1.412538e+03	8.748322e-01
1.432188e+03	8.592958e-01
1.452112e+03	9.304484e-01
1.472313e+03	9.170958e-01
1.492794e+03	9.006227e-01
1.513561e+03	8.991177e-01
1.534617e+03	9.647306e-01
1.555966e+03	8.432924e-01
1.577611e+03	8.669291e-01
1.599558e+03	8.330184e-01
1.621810e+03	8.822772e-01
1.644372e+03	9.322164e-01
1.667247e+03	8.210189e-01
1.690441e+03	9.405569e-01
1.713957e+03	9.207122e-01
1.737801e+03	8.556441e-01
1.761976e+03	8.202872e-01
1.786488e+03	9.058909e-01
1.811340e+03	8.472425e-01
1.836538e+03	1.011248e+00
1.862087e+03	8.703707e-01
1.887991e+03	8.295258e-01
1.914256e+03	9.121198e-01
1.940886e+03	8.287273e-01
1.967886e+03	8.438487e-01
1.995262e+03	8.572831e-01
2.023019e+03	9.053583e-01
2.051162e+03	7.817497e-01
2.079697e+03	8.557139e-01
2.108628e+03	8.901494e-01
2.137962e+03	8.270786e-01
2.167704e+03	9.207804e-01
2.197860e+03	8.632522e-01
2.228435e+03	8.646566e-01
2.259436e+03	8.728958e-01
2.290868e+03	7.353758e-01
2.322737e+03	8.273701e-01
2.355049e+03	8.534578e-01
2.387811e+03	9.188783e-01
2.421029e+03	8.754631e-01
2.454709e+03	8.498563e-01
2.488857e+03	8.151002e-01
2.523481e+03	8.419223e-01
2.558586e+03	8.435536e-01
2.594179e+03	8.687339e-01
2.630268e+03	7.977161e-01
2.666859e+03	8.630239e-01
2.703958e+03	8.160441e-01
2.741574e+03	8.587565e-01
2.779713e+03	9.283184e-01
2.818383e+03	8.552804e-01
2.857591e+03	8.399689e-01
2.897344e+03	8.502145e-01
2.937650e+03	8.063221e-01
2.978516e+03	8.422839e-01
3.019952e+03	7.890767e-01
3.061963e+03	7.961261e-01
3.104560e+03	8.785247e-01
3.147748e+03	8.196060e-01
3.191538e+03	9.092908e-01
3.235937e+03	7.715186e-01
3.280953e+03	7.883924e-01
3.326596e+03	7.260154e-01
3.372873e+03	8.138917e-01
3.419794e+03	8.116269e-01
3.467369e+03	7.340250e-01
3.515604e+03	8.426788e-01
3.564511e+03	8.582335e-01
3.614099e+03	8.561061e-01
3.664376e+03	8.373495e-01
3.715352e+03	8.288769e-01
3.767038e+03	7.506385e-01
3.819443e+03	8.644934e-01
3.872576e+03	7.474153e-01
3.926449e+03	8.168587e-01
