#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
0	2.555007e-03	5.000000e-02	9.891770e-01	4.900000e-01	-2.489531e+03	-2.488202e+03	-1.328620e+00
1	2.554697e-03	5.000000e-02	9.892368e-01	5.000000e-01	-2.489522e+03	-2.488206e+03	-1.316549e+00
2	2.585972e-03	5.000000e-02	9.832367e-01	5.000000e-01	-2.490365e+03	-2.487836e+03	-2.529282e+00
3	2.467799e-03	4.884419e-02	9.832367e-01	5.000000e-01	-2.490748e+03	-2.488220e+03	-2.527883e+00
4	2.491528e-03	4.884419e-02	9.785433e-01	5.100000e-01	-2.491419e+03	-2.487937e+03	-3.481548e+00
5	2.540090e-03	4.884419e-02	9.691440e-01	5.100000e-01	-2.492754e+03	-2.487349e+03	-5.405028e+00
6	2.505341e-03	4.884419e-02	9.758420e-01	5.100000e-01	-2.491804e+03	-2.487771e+03	-4.032485e+00
7	2.550633e-03	4.884419e-02	9.671391e-01	5.100000e-01	-2.493037e+03	-2.487220e+03	-5.817707e+00
8	2.518883e-03	4.884419e-02	9.732154e-01	5.100000e-01	-2.492177e+03	-2.487607e+03	-4.569617e+00
9	2.484992e-03	4.884419e-02	9.798293e-01	5.200000e-01	-2.491235e+03	-2.488016e+03	-3.219794e+00
10	2.486820e-03	4.884419e-02	9.794692e-01	5.300000e-01	-2.491287e+03	-2.487994e+03	-3.293055e+00
11	2.502787e-03	4.884419e-02	9.763397e-01	5.300000e-01	-2.491733e+03	-2.487802e+03	-3.930851e+00
12	2.495562e-03	4.884419e-02	9.777521e-01	5.400000e-01	-2.491532e+03	-2.487889e+03	-3.642748e+00
13	2.363871e-03	4.753797e-02	9.777521e-01	5.400000e-01	-2.490514e+03	-2.486872e+03	-3.641187e+00
14	2.423522e-03	4.753797e-02	9.656442e-01	5.500000e-01	-2.492281e+03	-2.486157e+03	-6.124292e+00
15	2.435461e-03	4.753797e-02	9.632744e-01	5.600000e-01	-2.492625e+03	-2.486011e+03	-6.613869e+00
16	2.420323e-03	4.739000e-02	9.632744e-01	5.500000e-01	-2.492409e+03	-2.485795e+03	-6.613684e+00
17	2.843967e-03	5.137032e-02	9.632744e-01	5.600000e-01	-2.491568e+03	-2.484950e+03	-6.618565e+00
18	2.833102e-03	5.137032e-02	9.651197e-01	5.500000e-01	-2.491295e+03	-2.485058e+03	-6.237215e+00
19	2.798107e-03	5.137032e-02	9.711362e-01	5.500000e-01	-2.490365e+03	-2.485367e+03	-4.998873e+00
20	2.462743e-03	4.819364e-02	9.711362e-01	5.400000e-01	-2.492187e+03	-2.487192e+03	-4.995002e+00
21	2.501933e-03	4.819364e-02	9.635004e-01	5.300000e-01	-2.493279e+03	-2.486711e+03	-6.567950e+00
22	2.616542e-03	4.819364e-02	9.421626e-01	5.300000e-01	-2.496289e+03	-2.485259e+03	-1.102935e+01
23	2.642659e-03	4.819364e-02	9.374955e-01	5.400000e-01	-2.496938e+03	-2.484920e+03	-1.201839e+01
24	2.724200e-03	4.819364e-02	9.233582e-01	5.500000e-01	-2.498903e+03	-2.483859e+03	-1.504412e+01
25	3.073798e-03	5.119269e-02	9.233582e-01	5.500000e-01	-2.497380e+03	-2.482332e+03	-1.504817e+01
26	3.055805e-03	5.119269e-02	9.260728e-01	5.400000e-01	-2.497014e+03	-2.482551e+03	-1.446364e+01
27	3.095086e-03	5.119269e-02	9.201773e-01	5.500000e-01	-2.497807e+03	-2.482072e+03	-1.573528e+01
28	2.590679e-03	4.683584e-02	9.201773e-01	5.500000e-01	-2.497579e+03	-2.481849e+03	-1.572917e+01
29	2.600808e-03	4.683584e-02	9.183837e-01	5.400000e-01	-2.497829e+03	-2.481711e+03	-1.611760e+01
30	2.592866e-03	4.683584e-02	9.197892e-01	5.300000e-01	-2.497633e+03	-2.481820e+03	-1.581317e+01
31	3.013860e-03	5.049517e-02	9.197892e-01	5.400000e-01	-2.498913e+03	-2.483095e+03	-1.581826e+01
32	3.012662e-03	5.049517e-02	9.199720e-01	5.500000e-01	-2.498888e+03	-2.483109e+03	-1.577869e+01
33	3.023492e-03	5.049517e-02	9.183230e-01	5.400000e-01	-2.499114e+03	-2.482978e+03	-1.613588e+01
34	3.135055e-03	5.049517e-02	9.018354e-01	5.400000e-01	-2.501321e+03	-2.481579e+03	-1.974230e+01
35	3.175414e-03	5.049517e-02	8.960860e-01	5.400000e-01	-2.502071e+03	-2.481056e+03	-2.101514e+01
36	3.261790e-03	5.049517e-02	8.841416e-01	5.400000e-01	-2.503597e+03	-2.479912e+03	-2.368529e+01
37	3.320692e-03	5.049517e-02	8.762651e-01	5.500000e-01	-2.504580e+03	-2.479114e+03	-2.546552e+01
38	3.425110e-03	5.049517e-02	8.628048e-01	5.600000e-01	-2.506251e+03	-2.477706e+03	-2.854436e+01
39	3.421219e-03	5.049517e-02	8.632954e-01	5.700000e-01	-2.506189e+03	-2.477757e+03	-2.843133e+01
40	2.976025e-03	4.709531e-02	8.632954e-01	5.800000e-01	-2.506154e+03	-2.477729e+03	-2.842517e+01
