#rate	A_maxlik	<A>	stdA	CI_5pc	CI_95pc
inf	1.929393e-03	1.904495e-03	2.219368e-04	1.842516e-03	1.938495e-03
1.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.709636e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.585776e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.606934e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.754399e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.011872e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.365158e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.801894e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.311311e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.884032e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.511886e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.187762e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.659587e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.445440e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.258925e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.096478e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.549926e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.317638e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.244360e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.309573e+01	1.299524e-02	1.390525e-02	1.173991e-02	1.130402e-02	1.696458e-02
5.495409e+01	5.898607e-02	5.879675e-02	8.054758e-03	5.688727e-02	6.122489e-02
4.786301e+01	3.464601e-02	3.432321e-02	4.195674e-03	3.324180e-02	3.524238e-02
4.168694e+01	1.247053e-02	1.194796e-02	3.822062e-03	1.079061e-02	1.247028e-02
3.630781e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.162278e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.754229e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.398833e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.089296e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.819701e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.584893e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.380384e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.202264e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.047129e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.120108e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.943282e+00	1.387364e-02	1.218210e-02	1.604723e-02	8.080002e-03	1.493604e-02
6.918310e+00	4.034546e-02	4.120296e-02	8.366903e-03	3.975631e-02	4.337782e-02
6.025596e+00	3.602419e-02	3.689048e-02	7.502338e-03	3.566787e-02	3.859692e-02
5.248075e+00	3.219630e-02	3.298700e-02	6.353976e-03	3.203514e-02	3.464476e-02
4.570882e+00	3.010314e-02	3.073281e-02	4.869820e-03	3.005827e-02	3.204762e-02
3.981072e+00	2.985120e-02	3.024119e-02	2.965339e-03	2.983924e-02	3.097969e-02
3.467369e+00	3.041736e-02	3.050454e-02	7.561620e-04	3.038658e-02	3.068560e-02
3.019952e+00	3.009230e-02	2.983799e-02	2.076921e-03	2.903079e-02	3.011422e-02
2.630268e+00	2.719899e-02	2.659725e-02	4.747348e-03	2.502344e-02	2.720725e-02
2.290868e+00	2.082419e-02	1.990811e-02	7.322746e-03	1.772631e-02	2.093769e-02
1.995262e+00	1.129355e-02	1.013810e-02	9.547631e-03	7.691114e-03	1.160652e-02
1.737801e+00	2.048714e-04	1.933066e-04	1.845119e-03	0.000000e+00	7.465313e-04
1.513561e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.318257e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
