#rate	A_maxlik	<A>	stdA	CI_5pc	CI_95pc
inf	2.830654e-03	6.064116e-03	8.789957e-02	2.076248e-03	1.000107e-02
1.000000e+03	-2.049032e-04	4.280869e-04	3.256321e-02	-2.103996e-04	3.288705e-03
8.709636e+02	-3.929274e-04	-7.042386e-05	2.814090e-02	-6.611999e-04	2.452266e-03
7.585776e+02	-5.532548e-04	-5.644468e-04	2.428221e-02	-1.300384e-03	1.474057e-03
6.606934e+02	-6.741747e-04	-1.037899e-03	2.228732e-02	-1.936253e-03	3.518901e-04
5.754399e+02	-7.427967e-04	-1.470073e-03	2.395385e-02	-2.577447e-03	-5.038618e-04
5.011872e+02	-7.455847e-04	-1.834943e-03	2.984356e-02	-3.199530e-03	-5.050912e-04
4.365158e+02	-6.691271e-04	-2.100681e-03	3.876183e-02	-3.873817e-03	-4.048746e-04
3.801894e+02	-5.011387e-04	-2.229704e-03	4.906401e-02	-4.959108e-03	-2.269531e-04
3.311311e+02	-2.316606e-04	-2.179741e-03	5.909956e-02	-6.066985e-03	3.682385e-05
2.884032e+02	1.456131e-04	-1.906576e-03	6.708905e-02	-6.781917e-03	3.916226e-04
2.511886e+02	6.319888e-04	-1.369098e-03	7.111237e-02	-6.897702e-03	8.385636e-04
2.187762e+02	1.222559e-03	-5.369727e-04	6.932278e-02	-6.212993e-03	1.373785e-03
1.905461e+02	1.905316e-03	5.995284e-04	6.040260e-02	-4.574055e-03	1.987786e-03
1.659587e+02	2.660848e-03	2.019249e-03	4.445757e-02	-1.924849e-03	2.821877e-03
1.445440e+02	3.462876e-03	3.662374e-03	2.662220e-02	1.648430e-03	4.566915e-03
1.258925e+02	4.279869e-03	5.428732e-03	3.128038e-02	4.123826e-03	6.914841e-03
1.096478e+02	5.077776e-03	7.184886e-03	5.928714e-02	4.853598e-03	1.038813e-02
9.549926e+01	5.823638e-03	8.780120e-03	8.969911e-02	5.549037e-03	1.469587e-02
8.317638e+01	6.489480e-03	1.006813e-02	1.146614e-01	6.188186e-03	1.822207e-02
7.244360e+01	7.055754e-03	1.092899e-02	1.294166e-01	6.755502e-03	2.052555e-02
6.309573e+01	7.513691e-03	1.128655e-02	1.307719e-01	7.243625e-03	2.127040e-02
5.495409e+01	7.866349e-03	1.111914e-02	1.171892e-01	7.654153e-03	2.029492e-02
4.786301e+01	8.128499e-03	1.046463e-02	8.898486e-02	7.997526e-03	1.763823e-02
4.168694e+01	8.325562e-03	9.421024e-03	4.867637e-02	8.292212e-03	1.355401e-02
3.630781e+01	8.491656e-03	8.142372e-03	1.209896e-02	7.572062e-03	8.595660e-03
3.162278e+01	8.666584e-03	6.827390e-03	5.590333e-02	3.150404e-03	8.839732e-03
2.754229e+01	8.891677e-03	5.698916e-03	1.036941e-01	-1.756534e-03	9.152128e-03
2.398833e+01	9.204725e-03	4.974782e-03	1.410902e-01	-5.439940e-03	9.528003e-03
2.089296e+01	9.634609e-03	4.833993e-03	1.619695e-01	-7.247235e-03	9.988223e-03
1.819701e+01	1.019648e-02	5.384265e-03	1.626362e-01	-6.773006e-03	1.054330e-02
1.584893e+01	1.088838e-02	6.637849e-03	1.425112e-01	-3.956325e-03	1.119087e-02
1.380384e+01	1.169019e-02	8.502112e-03	1.044907e-01	8.792729e-04	1.191492e-02
1.202264e+01	1.256534e-02	1.078945e-02	5.478876e-02	7.062883e-03	1.268709e-02
1.047129e+01	1.346537e-02	1.324730e-02	1.101040e-02	1.280039e-02	1.369436e-02
9.120108e+00	1.433679e-02	1.560368e-02	5.194814e-02	1.422302e-02	1.982476e-02
7.943282e+00	1.512876e-02	1.761821e-02	9.040592e-02	1.490680e-02	2.465725e-02
6.918310e+00	1.580001e-02	1.912521e-02	1.140773e-01	1.548976e-02	2.771260e-02
6.025596e+00	1.632328e-02	2.005674e-02	1.222461e-01	1.595079e-02	2.890792e-02
5.248075e+00	1.668644e-02	2.043891e-02	1.175425e-01	1.628032e-02	2.852216e-02
4.570882e+00	1.689043e-02	2.036390e-02	1.043947e-01	1.647877e-02	2.706105e-02
3.981072e+00	1.694517e-02	1.994891e-02	8.719338e-02	1.655357e-02	2.501735e-02
3.467369e+00	1.686522e-02	1.929692e-02	6.882768e-02	1.651592e-02	2.301263e-02
3.019952e+00	1.666679e-02	1.847305e-02	5.025959e-02	1.637853e-02	2.104277e-02
2.630268e+00	1.636684e-02	1.750316e-02	3.111891e-02	1.615497e-02	1.899462e-02
2.290868e+00	1.598420e-02	1.639268e-02	1.085940e-02	1.586043e-02	1.680953e-02
1.995262e+00	1.554165e-02	1.515619e-02	1.347455e-02	1.420873e-02	1.555355e-02
1.737801e+00	1.506747e-02	1.384411e-02	3.801339e-02	1.137291e-02	1.513591e-02
1.513561e+00	1.459512e-02	1.255427e-02	6.313178e-02	8.367452e-03	1.475490e-02
1.318257e+00	1.416055e-02	1.142195e-02	8.535584e-02	5.635803e-03	1.439846e-02
1.148154e+00	1.379742e-02	1.059103e-02	1.006950e-01	3.667928e-03	1.409309e-02
1.000000e+00	1.353165e-02	1.017637e-02	1.057144e-01	2.861179e-03	1.385930e-02
8.709636e-01	1.337689e-02	1.023138e-02	9.873007e-02	3.421513e-03	1.370833e-02
7.585776e-01	1.333253e-02	1.073277e-02	8.043684e-02	5.282300e-03	1.364050e-02
6.606934e-01	1.338468e-02	1.158719e-02	5.376644e-02	8.127700e-03	1.364599e-02
5.754399e-01	1.350957e-02	1.265586e-02	2.344099e-02	1.148952e-02	1.370739e-02
5.011872e-01	1.367837e-02	1.378691e-02	1.267180e-02	1.332507e-02	1.487410e-02
4.365158e-01	1.386167e-02	1.484422e-02	3.796059e-02	1.384519e-02	1.787122e-02
3.801894e-01	1.403283e-02	1.572501e-02	5.924426e-02	1.401148e-02	2.021372e-02
3.311311e-01	1.416983e-02	1.636464e-02	7.372790e-02	1.408660e-02	2.178205e-02
2.884032e-01	1.425592e-02	1.673182e-02	8.116735e-02	1.412361e-02	2.256931e-02
2.511886e-01	1.427944e-02	1.681935e-02	8.197985e-02	1.411302e-02	2.263029e-02
2.187762e-01	1.423347e-02	1.663498e-02	7.678924e-02	1.404893e-02	2.203574e-02
1.905461e-01	1.411553e-02	1.619535e-02	6.619919e-02	1.392869e-02	2.084456e-02
1.659587e-01	1.392728e-02	1.552410e-02	5.075114e-02	1.375287e-02	1.909908e-02
1.445440e-01	1.367452e-02	1.465374e-02	3.106275e-02	1.352520e-02	1.684170e-02
1.258925e-01	1.336711e-02	1.363024e-02	8.670568e-03	1.325250e-02	1.414621e-02
1.096478e-01	1.301873e-02	1.251753e-02	1.863827e-02	1.117824e-02	1.307338e-02
9.549926e-02	1.264615e-02	1.139922e-02	4.395921e-02	8.086979e-03	1.265115e-02
8.317638e-02	1.226789e-02	1.037446e-02	6.692221e-02	5.263613e-03	1.227513e-02
7.244360e-02	1.190202e-02	9.546547e-03	8.418410e-02	3.042950e-03	1.193782e-02
6.309573e-02	1.156352e-02	9.005689e-03	9.271618e-02	1.768331e-03	1.161743e-02
5.495409e-02	1.126162e-02	8.809712e-03	9.035655e-02	1.686530e-03	1.131962e-02
4.786301e-02	1.099786e-02	8.968418e-03	7.641155e-02	2.879500e-03	1.104584e-02
4.168694e-02	1.076548e-02	9.436580e-03	5.200036e-02	5.228719e-03	1.079141e-02
3.630781e-02	1.055033e-02	1.011826e-02	2.020925e-02	8.424212e-03	1.055030e-02
3.162278e-02	1.033335e-02	1.088175e-02	1.720245e-02	1.029659e-02	1.199655e-02
2.754229e-02	1.009388e-02	1.158138e-02	5.161103e-02	1.002757e-02	1.549564e-02
2.398833e-02	9.813148e-03	1.208038e-02	8.116263e-02	9.725712e-03	1.837614e-02
2.089296e-02	9.477125e-03	1.226914e-02	1.018775e-01	9.381094e-03	2.026147e-02
1.819701e-02	9.078259e-03	1.207562e-02	1.112392e-01	8.988594e-03	2.087883e-02
1.584893e-02	8.616073e-03	1.146820e-02	1.079285e-01	8.548333e-03	2.008516e-02
1.380384e-02	8.096997e-03	1.045470e-02	9.175575e-02	8.065535e-03	1.786185e-02
1.202264e-02	7.533946e-03	9.081939e-03	6.370544e-02	7.532652e-03	1.431705e-02
1.047129e-02	6.945881e-03	7.437383e-03	2.643541e-02	6.813491e-03	9.702624e-03
9.120108e-03	6.357115e-03	5.650581e-03	2.030095e-02	4.434072e-03	6.483488e-03
7.943282e-03	5.795812e-03	3.888689e-03	6.422988e-02	-9.144070e-04	5.971554e-03
6.918310e-03	5.291237e-03	2.341371e-03	1.038436e-01	-5.655384e-03	5.502772e-03
