#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
0	3.525415e-01	3.000000e-02	5.052614e-02	5.000000e-01	-2.526464e+03	-2.234120e+03	-2.923446e+02
1	3.567194e-01	3.017724e-02	5.052614e-02	5.100000e-01	-2.535512e+03	-2.243151e+03	-2.923612e+02
2	3.649286e-01	3.052250e-02	5.052614e-02	5.100000e-01	-2.552492e+03	-2.260099e+03	-2.923928e+02
3	3.690004e-01	3.052250e-02	5.024660e-02	5.000000e-01	-2.552951e+03	-2.260084e+03	-2.928667e+02
4	3.690608e-01	3.052250e-02	5.024249e-02	5.100000e-01	-2.552957e+03	-2.260084e+03	-2.928737e+02
5	3.771256e-01	3.052250e-02	4.970237e-02	5.100000e-01	-2.553848e+03	-2.260054e+03	-2.937943e+02
6	3.920638e-01	3.112114e-02	4.970237e-02	5.100000e-01	-2.581375e+03	-2.287528e+03	-2.938471e+02
7	3.978598e-01	3.112114e-02	4.933901e-02	5.200000e-01	-2.581979e+03	-2.287509e+03	-2.944701e+02
8	3.988231e-01	3.112114e-02	4.927939e-02	5.100000e-01	-2.582078e+03	-2.287505e+03	-2.945726e+02
9	4.047531e-01	3.112114e-02	4.891706e-02	5.000000e-01	-2.582683e+03	-2.287486e+03	-2.951972e+02
10	4.160925e-01	3.155407e-02	4.891706e-02	5.000000e-01	-2.601171e+03	-2.305937e+03	-2.952338e+02
11	4.116474e-01	3.155407e-02	4.918047e-02	5.100000e-01	-2.600731e+03	-2.305952e+03	-2.947794e+02
12	4.206308e-01	3.189651e-02	4.918047e-02	5.200000e-01	-2.614563e+03	-2.319755e+03	-2.948074e+02
13	4.225812e-01	3.197038e-02	4.918047e-02	5.100000e-01	-2.617458e+03	-2.322645e+03	-2.948133e+02
14	4.229656e-01	3.197038e-02	4.915811e-02	5.000000e-01	-2.617495e+03	-2.322644e+03	-2.948518e+02
15	4.338739e-01	3.197038e-02	4.853622e-02	5.000000e-01	-2.618538e+03	-2.322611e+03	-2.959275e+02
16	4.253427e-01	3.197038e-02	4.902056e-02	5.100000e-01	-2.617725e+03	-2.322636e+03	-2.950890e+02
17	4.482638e-01	3.282049e-02	4.902056e-02	5.200000e-01	-2.648918e+03	-2.353764e+03	-2.951547e+02
18	4.487600e-01	3.282049e-02	4.899345e-02	5.300000e-01	-2.648964e+03	-2.353762e+03	-2.952015e+02
19	4.519673e-01	3.282049e-02	4.881931e-02	5.300000e-01	-2.649256e+03	-2.353754e+03	-2.955026e+02
20	4.318657e-01	3.282049e-02	4.994255e-02	5.200000e-01	-2.647382e+03	-2.353809e+03	-2.935724e+02
21	4.457090e-01	3.282049e-02	4.916085e-02	5.100000e-01	-2.648684e+03	-2.353771e+03	-2.949127e+02
22	4.480030e-01	3.290484e-02	4.916085e-02	5.100000e-01	-2.651574e+03	-2.356655e+03	-2.949190e+02
23	4.461491e-01	3.290484e-02	4.926288e-02	5.000000e-01	-2.651404e+03	-2.356660e+03	-2.947433e+02
24	4.464216e-01	3.291489e-02	4.926288e-02	5.100000e-01	-2.651746e+03	-2.357002e+03	-2.947440e+02
25	4.529830e-01	3.291489e-02	4.890480e-02	5.100000e-01	-2.652346e+03	-2.356984e+03	-2.953617e+02
26	4.561596e-01	3.303010e-02	4.890480e-02	5.000000e-01	-2.656231e+03	-2.360861e+03	-2.953702e+02
27	4.588467e-01	3.303010e-02	4.876140e-02	4.900000e-01	-2.656473e+03	-2.360854e+03	-2.956183e+02
28	4.731195e-01	3.353988e-02	4.876140e-02	4.800000e-01	-2.672905e+03	-2.377250e+03	-2.956549e+02
29	4.791681e-01	3.375360e-02	4.876140e-02	4.700000e-01	-2.679437e+03	-2.383767e+03	-2.956698e+02
30	4.903189e-01	3.414408e-02	4.876140e-02	4.600000e-01	-2.690854e+03	-2.395158e+03	-2.956964e+02
31	4.932829e-01	3.424713e-02	4.876140e-02	4.500000e-01	-2.693759e+03	-2.398055e+03	-2.957033e+02
32	4.900587e-01	3.424713e-02	4.892154e-02	4.400000e-01	-2.693489e+03	-2.398063e+03	-2.954261e+02
33	4.938263e-01	3.424713e-02	4.873456e-02	4.500000e-01	-2.693804e+03	-2.398054e+03	-2.957498e+02
34	4.972341e-01	3.424713e-02	4.856727e-02	4.400000e-01	-2.694086e+03	-2.398046e+03	-2.960400e+02
35	5.001652e-01	3.424713e-02	4.842475e-02	4.300000e-01	-2.694327e+03	-2.398040e+03	-2.962878e+02
36	5.107309e-01	3.460696e-02	4.842475e-02	4.400000e-01	-2.704128e+03	-2.407817e+03	-2.963114e+02
37	5.171264e-01	3.460696e-02	4.812438e-02	4.500000e-01	-2.704638e+03	-2.407803e+03	-2.968350e+02
38	5.314442e-01	3.508278e-02	4.812438e-02	4.500000e-01	-2.716813e+03	-2.419948e+03	-2.968653e+02
39	5.417019e-01	3.508278e-02	4.766656e-02	4.600000e-01	-2.717594e+03	-2.419927e+03	-2.976673e+02
40	5.451447e-01	3.508278e-02	4.751581e-02	4.600000e-01	-2.717852e+03	-2.419920e+03	-2.979324e+02
41	5.385888e-01	3.508278e-02	4.780412e-02	4.600000e-01	-2.717359e+03	-2.419933e+03	-2.974258e+02
42	5.365024e-01	3.508278e-02	4.789698e-02	4.600000e-01	-2.717200e+03	-2.419937e+03	-2.972631e+02
43	5.510392e-01	3.555489e-02	4.789698e-02	4.700000e-01	-2.728445e+03	-2.431153e+03	-2.972921e+02
44	5.686260e-01	3.611782e-02	4.789698e-02	4.600000e-01	-2.740831e+03	-2.443506e+03	-2.973253e+02
45	5.758716e-01	3.611782e-02	4.759471e-02	4.500000e-01	-2.741349e+03	-2.443493e+03	-2.978559e+02
46	5.666561e-01	3.611782e-02	4.798017e-02	4.400000e-01	-2.740689e+03	-2.443510e+03	-2.971796e+02
47	5.698545e-01	3.621961e-02	4.798017e-02	4.400000e-01	-2.742816e+03	-2.445630e+03	-2.971855e+02
48	5.847478e-01	3.621961e-02	4.736521e-02	4.400000e-01	-2.743869e+03	-2.445603e+03	-2.982660e+02
49	5.919224e-01	3.644113e-02	4.736521e-02	4.500000e-01	-2.748382e+03	-2.450103e+03	-2.982787e+02
50	5.862212e-01	3.644113e-02	4.759497e-02	4.600000e-01	-2.747987e+03	-2.450113e+03	-2.978740e+02
51	6.045988e-01	3.700792e-02	4.759497e-02	4.500000e-01	-2.758839e+03	-2.460934e+03	-2.979054e+02
52	6.036289e-01	3.697823e-02	4.759497e-02	4.600000e-01	-2.758295e+03	-2.460391e+03	-2.979038e+02
53	6.086355e-01	3.713126e-02	4.759497e-02	4.600000e-01	-2.761073e+03	-2.463161e+03	-2.979121e+02
54	6.153879e-01	3.713126e-02	4.733313e-02	4.500000e-01	-2.761523e+03	-2.463150e+03	-2.983734e+02
55	6.193363e-01	3.713126e-02	4.718201e-02	4.400000e-01	-2.761784e+03	-2.463144e+03	-2.986404e+02
