#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
0	1.107123e-02	1.000000e-01	9.503903e-01	9.000000e-01	-7.993438e+02	-7.909777e+02	-8.366093e+00
1	1.117886e-02	1.000000e-01	9.458044e-01	9.000000e-01	-7.998365e+02	-7.909423e+02	-8.894209e+00
2	4.968188e-03	6.666538e-02	9.458044e-01	9.100000e-01	-9.067250e+02	-8.981651e+02	-8.559885e+00
3	4.183183e-03	6.117230e-02	9.458044e-01	9.000000e-01	-9.248508e+02	-9.159645e+02	-8.886332e+00
4	4.283991e-03	6.117230e-02	9.346102e-01	9.000000e-01	-9.261068e+02	-9.159200e+02	-1.018674e+01
5	4.883642e-03	6.117230e-02	8.753523e-01	9.100000e-01	-9.325810e+02	-9.156141e+02	-1.696687e+01
6	4.958806e-03	6.117230e-02	8.686928e-01	9.200000e-01	-9.329549e+02	-9.155574e+02	-1.739750e+01
7	1.340461e-03	3.180484e-02	8.686928e-01	9.300000e-01	-9.480288e+02	-9.310481e+02	-1.698072e+01
8	2.842739e-03	4.631639e-02	8.686928e-01	9.400000e-01	-9.711656e+02	-9.545781e+02	-1.658748e+01
9	2.985734e-03	4.631639e-02	8.476356e-01	9.500000e-01	-9.732310e+02	-9.544596e+02	-1.877140e+01
10	3.165476e-03	4.631639e-02	8.232187e-01	9.500000e-01	-9.760725e+02	-9.542163e+02	-2.185614e+01
11	3.285477e-03	4.631639e-02	8.080448e-01	9.600000e-01	-9.775045e+02	-9.541535e+02	-2.335103e+01
12	4.115215e-03	4.631639e-02	7.220021e-01	9.600000e-01	-9.882377e+02	-9.530732e+02	-3.516453e+01
13	4.221812e-03	4.631639e-02	7.128288e-01	9.700000e-01	-9.890030e+02	-9.530920e+02	-3.591100e+01
14	3.716957e-03	4.345893e-02	7.128288e-01	9.800000e-01	-9.922885e+02	-9.569786e+02	-3.530992e+01
15	4.251914e-03	4.345893e-02	6.664795e-01	9.800000e-01	-9.982047e+02	-9.559628e+02	-4.224193e+01
16	4.300989e-03	4.345893e-02	6.626662e-01	9.900000e-01	-9.989476e+02	-9.567959e+02	-4.215166e+01
17	4.416184e-03	4.345893e-02	6.539664e-01	9.900000e-01	-1.000094e+03	-9.565944e+02	-4.349998e+01
18	3.714361e-03	3.985634e-02	6.539664e-01	9.900000e-01	-1.001199e+03	-9.577032e+02	-4.349616e+01
19	4.023294e-03	3.985634e-02	6.283572e-01	1.000000e+00	-1.005833e+03	-9.590044e+02	-4.682832e+01
20	5.246622e-03	3.985634e-02	5.502468e-01	1.000000e+00	-1.017140e+03	-9.569284e+02	-6.021116e+01
21	5.352427e-03	3.985634e-02	5.447811e-01	1.000000e+00	-1.017975e+03	-9.567580e+02	-6.121739e+01
22	5.615104e-03	4.082263e-02	5.447811e-01	1.000000e-01	-1.032015e+03	-8.969040e+02	-1.351107e+02
23	5.341875e-03	4.082263e-02	5.585398e-01	1.000000e-01	-1.032772e+03	-9.024138e+02	-1.303583e+02
24	5.016067e-03	4.082263e-02	5.763938e-01	1.000000e-01	-1.033043e+03	-9.086752e+02	-1.243677e+02
25	5.862011e-03	4.082263e-02	5.331846e-01	1.100000e-01	-1.031594e+03	-8.931042e+02	-1.384897e+02
26	4.507287e-03	4.082263e-02	6.080557e-01	1.100000e-01	-1.032127e+03	-9.185595e+02	-1.135673e+02
27	4.687030e-03	4.082263e-02	5.962825e-01	1.100000e-01	-1.032790e+03	-9.155222e+02	-1.172678e+02
