#rate	A_maxlik	<A>	stdA	CI_5pc	CI_95pc
inf	0.000000e+00	6.738293e-04	1.450644e-02	-9.486450e-04	7.759439e-03
1.000000e+00	0.000000e+00	-2.466933e-05	5.625195e-03	-2.249915e-03	1.504713e-03
8.317638e-01	0.000000e+00	-2.527727e-04	5.502278e-03	-2.665605e-03	1.455942e-03
6.918310e-01	0.000000e+00	-9.908108e-05	3.891400e-03	-1.922210e-03	1.436006e-03
5.754399e-01	0.000000e+00	3.754304e-05	2.705297e-03	-7.558870e-04	1.412338e-03
4.786301e-01	0.000000e+00	9.405468e-05	2.371016e-03	-2.074671e-04	1.398976e-03
3.981072e-01	0.000000e+00	1.077620e-04	2.312057e-03	-4.105378e-05	1.400395e-03
3.311311e-01	0.000000e+00	1.100079e-04	2.294557e-03	-7.272924e-06	1.398314e-03
2.754229e-01	0.000000e+00	1.097242e-04	2.284213e-03	-7.480579e-06	1.392653e-03
2.290868e-01	0.000000e+00	1.091808e-04	2.275618e-03	-8.853921e-06	1.383388e-03
1.905461e-01	0.000000e+00	1.086407e-04	2.268330e-03	-1.063090e-05	1.370537e-03
1.584893e-01	0.000000e+00	1.080957e-04	2.262447e-03	-1.277955e-05	1.354163e-03
1.318257e-01	0.000000e+00	1.075264e-04	2.258003e-03	-1.536369e-05	1.334357e-03
1.096478e-01	0.000000e+00	1.069069e-04	2.254903e-03	-1.847032e-05	1.311232e-03
9.120108e-02	0.000000e+00	1.062048e-04	2.252874e-03	-2.220492e-05	1.284908e-03
7.585776e-02	0.000000e+00	1.053802e-04	2.251431e-03	-2.669432e-05	1.255499e-03
6.309573e-02	0.000000e+00	1.044011e-04	2.249797e-03	-3.179485e-05	1.223091e-03
5.248075e-02	0.000000e+00	1.031941e-04	2.247015e-03	-3.799091e-05	1.187725e-03
4.365158e-02	0.000000e+00	1.016875e-04	2.241825e-03	-4.557887e-05	1.149374e-03
3.630781e-02	0.000000e+00	9.980449e-05	2.232683e-03	-5.476589e-05	1.107919e-03
3.019952e-02	0.000000e+00	9.749609e-05	2.217653e-03	-6.504157e-05	1.063116e-03
2.511886e-02	0.000000e+00	9.461028e-05	2.194824e-03	-7.756947e-05	1.014569e-03
2.089296e-02	0.000000e+00	9.107388e-05	2.161744e-03	-9.178117e-05	9.616930e-04
1.737801e-02	0.000000e+00	8.667801e-05	2.116152e-03	-1.093074e-04	9.036775e-04
1.445440e-02	0.000000e+00	8.133147e-05	2.055085e-03	-1.292319e-04	8.394424e-04
1.202264e-02	0.000000e+00	7.485458e-05	1.975604e-03	-1.518047e-04	7.820639e-04
1.000000e-02	0.000000e+00	6.701161e-05	1.874823e-03	-1.779506e-04	7.156973e-04
8.317638e-03	0.000000e+00	5.753093e-05	1.749996e-03	-2.085894e-04	6.375276e-04
6.918310e-03	0.000000e+00	4.610926e-05	1.598982e-03	-2.446267e-04	5.445122e-04
5.754399e-03	0.000000e+00	2.809036e-05	1.435097e-03	-2.870526e-04	4.330820e-04
4.786301e-03	0.000000e+00	6.471082e-06	1.279671e-03	-3.422427e-04	2.990953e-04
3.981072e-03	0.000000e+00	-1.434303e-05	1.098861e-03	-3.976529e-04	1.377997e-04
3.311311e-03	0.000000e+00	-3.875186e-05	9.735680e-04	-4.592506e-04	0.000000e+00
2.754229e-03	0.000000e+00	-7.517233e-05	1.024428e-03	-5.349445e-04	0.000000e+00
2.290868e-03	0.000000e+00	-1.127908e-04	1.302977e-03	-6.742638e-04	0.000000e+00
1.905461e-03	0.000000e+00	-1.520955e-04	1.765057e-03	-8.971726e-04	0.000000e+00
1.584893e-03	0.000000e+00	-2.147455e-04	2.420672e-03	-1.286990e-03	0.000000e+00
1.318257e-03	0.000000e+00	-2.706457e-04	3.203783e-03	-1.773085e-03	0.000000e+00
1.096478e-03	0.000000e+00	-3.572509e-04	4.137706e-03	-2.358660e-03	0.000000e+00
9.120108e-04	0.000000e+00	-4.639871e-04	5.224771e-03	-2.950594e-03	0.000000e+00
7.585776e-04	0.000000e+00	-5.732063e-04	6.380476e-03	-3.616336e-03	0.000000e+00
6.309573e-04	0.000000e+00	-7.345817e-04	7.621966e-03	-4.350779e-03	0.000000e+00
5.248075e-04	0.000000e+00	-8.997084e-04	8.962158e-03	-5.140005e-03	0.000000e+00
4.365158e-04	0.000000e+00	-1.022142e-03	1.042109e-02	-5.970548e-03	0.000000e+00
3.630781e-04	0.000000e+00	-1.129971e-03	1.186845e-02	-6.798303e-03	0.000000e+00
3.019952e-04	0.000000e+00	-1.215269e-03	1.319060e-02	-7.538767e-03	0.000000e+00
2.511886e-04	0.000000e+00	-1.253176e-03	1.422494e-02	-8.085687e-03	0.000000e+00
2.089296e-04	0.000000e+00	-1.213476e-03	1.474881e-02	-8.289100e-03	0.000000e+00
1.737801e-04	0.000000e+00	-1.066493e-03	1.443741e-02	-7.946380e-03	0.000000e+00
1.445440e-04	0.000000e+00	-9.024225e-04	1.269499e-02	-6.796091e-03	0.000000e+00
1.202264e-04	0.000000e+00	-5.708297e-04	9.075084e-03	-4.518670e-03	0.000000e+00
1.000000e-04	0.000000e+00	-1.209119e-04	3.306817e-03	-7.498045e-04	0.000000e+00
8.317638e-05	0.000000e+00	3.317864e-04	7.150465e-03	0.000000e+00	4.885985e-03
6.918310e-05	0.000000e+00	1.060311e-03	1.994477e-02	0.000000e+00	1.271385e-02
5.754399e-05	0.000000e+00	3.403126e-03	4.254266e-02	0.000000e+00	2.291456e-02
4.786301e-05	0.000000e+00	1.062898e-02	7.343824e-02	0.000000e+00	3.540210e-02
3.981072e-05	0.000000e+00	2.551370e-02	1.066809e-01	0.000000e+00	4.969318e-02
3.311311e-05	0.000000e+00	4.025109e-02	1.554165e-01	0.000000e+00	6.800922e-02
2.754229e-05	8.262407e-02	8.371076e-02	2.750343e-02	7.565796e-02	9.173909e-02
2.290868e-05	2.225567e-01	1.456850e-01	2.757582e-01	9.130682e-02	2.225567e-01
1.905461e-05	2.400994e-01	1.583338e-01	2.973672e-01	9.907389e-02	2.400994e-01
1.584893e-05	1.797914e-01	1.395362e-01	1.729323e-01	1.012458e-01	1.887682e-01
1.318257e-05	5.510372e-02	9.369319e-02	9.124053e-02	5.510372e-02	1.130247e-01
1.096478e-05	0.000000e+00	5.724605e-02	2.215310e-01	0.000000e+00	9.812116e-02
9.120108e-06	0.000000e+00	4.657670e-02	1.799261e-01	0.000000e+00	7.773558e-02
7.585776e-06	0.000000e+00	3.435592e-02	1.338028e-01	0.000000e+00	5.994720e-02
6.309573e-06	0.000000e+00	2.198943e-02	9.095902e-02	0.000000e+00	4.484003e-02
5.248075e-06	0.000000e+00	1.097436e-02	5.612561e-02	0.000000e+00	3.126183e-02
4.365158e-06	0.000000e+00	3.035376e-03	3.443708e-02	0.000000e+00	1.995836e-02
3.630781e-06	0.000000e+00	9.207216e-04	1.735794e-02	0.000000e+00	1.118654e-02
3.019952e-06	0.000000e+00	3.426231e-04	7.203621e-03	0.000000e+00	4.765789e-03
