#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
0	2.511508e-03	5.000000e-02	9.977063e-01	5.000000e-01	-9.381308e+02	-9.385079e+02	3.770752e-01
1	2.271318e-03	4.754903e-02	9.977063e-01	5.000000e-01	-9.441571e+02	-9.445401e+02	3.830213e-01
2	2.257023e-03	4.754903e-02	1.000861e+00	4.900000e-01	-9.436514e+02	-9.446640e+02	1.012577e+00
3	2.320545e-03	4.754903e-02	9.870671e-01	5.000000e-01	-9.458611e+02	-9.441063e+02	-1.754825e+00
4	2.321190e-03	4.754903e-02	9.869299e-01	5.000000e-01	-9.458828e+02	-9.441002e+02	-1.782536e+00
5	2.354982e-03	4.789389e-02	9.869299e-01	4.900000e-01	-9.450979e+02	-9.433146e+02	-1.783390e+00
6	2.382321e-03	4.789389e-02	9.812507e-01	5.000000e-01	-9.460035e+02	-9.430694e+02	-2.934084e+00
7	2.402971e-03	4.789389e-02	9.770255e-01	5.000000e-01	-9.466772e+02	-9.428828e+02	-3.794434e+00
8	2.408879e-03	4.789389e-02	9.758266e-01	5.100000e-01	-9.468682e+02	-9.428290e+02	-4.039220e+00
9	2.426536e-03	4.789389e-02	9.722696e-01	5.100000e-01	-9.474342e+02	-9.426670e+02	-4.767234e+00
10	2.448737e-03	4.789389e-02	9.678522e-01	5.100000e-01	-9.481381e+02	-9.424631e+02	-5.675032e+00
11	2.528164e-03	4.789389e-02	9.525275e-01	5.000000e-01	-9.505707e+02	-9.417144e+02	-8.856273e+00
12	2.601960e-03	4.789389e-02	9.389226e-01	5.000000e-01	-9.527222e+02	-9.409992e+02	-1.172305e+01
13	2.751276e-03	4.789389e-02	9.130889e-01	4.900000e-01	-9.567668e+02	-9.394856e+02	-1.728114e+01
14	2.084156e-03	4.168484e-02	9.130889e-01	4.900000e-01	-9.668980e+02	-9.496363e+02	-1.726175e+01
15	2.077688e-03	4.168484e-02	9.145088e-01	4.900000e-01	-9.666433e+02	-9.496909e+02	-1.695241e+01
16	2.021463e-03	4.111694e-02	9.145088e-01	4.900000e-01	-9.667780e+02	-9.498268e+02	-1.695116e+01
17	2.062491e-03	4.111694e-02	9.053672e-01	5.000000e-01	-9.684560e+02	-9.495051e+02	-1.895089e+01
18	2.146088e-03	4.111694e-02	8.875585e-01	4.900000e-01	-9.716325e+02	-9.487281e+02	-2.290442e+01
19	2.143346e-03	4.111694e-02	8.881261e-01	4.800000e-01	-9.715337e+02	-9.487565e+02	-2.277720e+01
20	2.205194e-03	4.111694e-02	8.755831e-01	4.900000e-01	-9.737058e+02	-9.480986e+02	-2.560719e+01
21	2.176866e-03	4.111694e-02	8.812616e-01	4.800000e-01	-9.727277e+02	-9.484067e+02	-2.432107e+01
22	2.180869e-03	4.111694e-02	8.804526e-01	4.700000e-01	-9.728682e+02	-9.483644e+02	-2.450380e+01
23	2.171336e-03	4.111694e-02	8.823831e-01	4.700000e-01	-9.725336e+02	-9.484655e+02	-2.406803e+01
24	2.177120e-03	4.111694e-02	8.812102e-01	4.700000e-01	-9.727371e+02	-9.484044e+02	-2.433267e+01
25	2.161553e-03	4.111694e-02	8.843777e-01	4.600000e-01	-9.721883e+02	-9.485695e+02	-2.361877e+01
26	2.131110e-03	4.111694e-02	8.906721e-01	4.700000e-01	-9.710875e+02	-9.488800e+02	-2.220758e+01
27	2.220405e-03	4.111694e-02	8.725787e-01	4.800000e-01	-9.742214e+02	-9.479305e+02	-2.629096e+01
28	2.312932e-03	4.111694e-02	8.549472e-01	4.700000e-01	-9.772078e+02	-9.468568e+02	-3.035104e+01
29	2.299991e-03	4.111694e-02	8.573491e-01	4.700000e-01	-9.768019e+02	-9.470088e+02	-2.979313e+01
30	2.323172e-03	4.111694e-02	8.530610e-01	4.700000e-01	-9.775244e+02	-9.467342e+02	-3.079023e+01
31	2.251294e-03	4.047587e-02	8.530610e-01	4.600000e-01	-9.777677e+02	-9.469799e+02	-3.078780e+01
32	2.279067e-03	4.047587e-02	8.478473e-01	4.700000e-01	-9.786544e+02	-9.466477e+02	-3.200673e+01
33	2.231088e-03	4.004755e-02	8.478473e-01	4.800000e-01	-9.787125e+02	-9.467074e+02	-3.200509e+01
34	2.269973e-03	4.004755e-02	8.405540e-01	4.700000e-01	-9.799582e+02	-9.462357e+02	-3.372255e+01
35	2.550123e-03	4.244692e-02	8.405540e-01	4.600000e-01	-9.784813e+02	-9.447490e+02	-3.373232e+01
36	2.547805e-03	4.244692e-02	8.409362e-01	4.700000e-01	-9.784194e+02	-9.447774e+02	-3.364192e+01
37	2.569154e-03	4.244692e-02	8.374350e-01	4.600000e-01	-9.789862e+02	-9.445148e+02	-3.447139e+01
