#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
0	3.607830e-01	3.000000e-02	4.994571e-02	5.000000e-01	-1.259996e+03	-9.744632e+02	-2.855323e+02
1	3.648316e-01	3.000000e-02	4.966782e-02	5.100000e-01	-1.260367e+03	-9.744289e+02	-2.859380e+02
2	3.641317e-01	2.997121e-02	4.966782e-02	5.200000e-01	-1.260171e+03	-9.742386e+02	-2.859321e+02
3	3.693663e-01	2.997121e-02	4.931462e-02	5.200000e-01	-1.260643e+03	-9.741942e+02	-2.864487e+02
4	3.886629e-01	2.997121e-02	4.807483e-02	5.100000e-01	-1.262304e+03	-9.740326e+02	-2.882711e+02
5	3.886063e-01	2.997121e-02	4.807833e-02	5.100000e-01	-1.262299e+03	-9.740331e+02	-2.882660e+02
6	3.987811e-01	2.997121e-02	4.746101e-02	5.200000e-01	-1.263127e+03	-9.739490e+02	-2.891783e+02
7	4.156676e-01	3.059920e-02	4.746101e-02	5.200000e-01	-1.267152e+03	-9.778386e+02	-2.893135e+02
8	4.295325e-01	3.110534e-02	4.746101e-02	5.300000e-01	-1.270010e+03	-9.805905e+02	-2.894192e+02
9	4.337460e-01	3.110534e-02	4.722993e-02	5.400000e-01	-1.270322e+03	-9.805591e+02	-2.897631e+02
10	4.397716e-01	3.110534e-02	4.690525e-02	5.300000e-01	-1.270761e+03	-9.805144e+02	-2.902470e+02
11	4.458938e-01	3.132111e-02	4.690525e-02	5.200000e-01	-1.271883e+03	-9.815906e+02	-2.902920e+02
12	4.616255e-01	3.186884e-02	4.690525e-02	5.100000e-01	-1.274482e+03	-9.840776e+02	-2.904040e+02
13	4.644190e-01	3.186884e-02	4.676397e-02	5.200000e-01	-1.274674e+03	-9.840582e+02	-2.906155e+02
14	4.620666e-01	3.178803e-02	4.676397e-02	5.300000e-01	-1.274312e+03	-9.837126e+02	-2.905991e+02
15	4.559319e-01	3.178803e-02	4.707753e-02	5.200000e-01	-1.273886e+03	-9.837556e+02	-2.901301e+02
16	4.485423e-01	3.178803e-02	4.746374e-02	5.200000e-01	-1.273361e+03	-9.838077e+02	-2.895535e+02
17	4.496084e-01	3.178803e-02	4.740743e-02	5.200000e-01	-1.273438e+03	-9.838001e+02	-2.896374e+02
18	4.652125e-01	3.178803e-02	4.660558e-02	5.300000e-01	-1.274527e+03	-9.836906e+02	-2.908363e+02
19	4.978490e-01	3.288416e-02	4.660558e-02	5.400000e-01	-1.278847e+03	-9.877928e+02	-2.910546e+02
20	4.965882e-01	3.284249e-02	4.660558e-02	5.400000e-01	-1.278705e+03	-9.876589e+02	-2.910465e+02
21	4.921526e-01	3.284249e-02	4.681513e-02	5.500000e-01	-1.278419e+03	-9.876875e+02	-2.907313e+02
22	4.921563e-01	3.284249e-02	4.681496e-02	5.500000e-01	-1.278419e+03	-9.876874e+02	-2.907316e+02
23	5.107219e-01	3.345622e-02	4.681496e-02	5.500000e-01	-1.280345e+03	-9.894963e+02	-2.908485e+02
24	5.015494e-01	3.345622e-02	4.724110e-02	5.600000e-01	-1.279760e+03	-9.895529e+02	-2.902071e+02
25	4.944634e-01	3.321904e-02	4.724110e-02	5.500000e-01	-1.279058e+03	-9.888948e+02	-2.901629e+02
26	5.050922e-01	3.321904e-02	4.674140e-02	5.500000e-01	-1.279743e+03	-9.888281e+02	-2.909144e+02
27	5.085876e-01	3.321904e-02	4.658051e-02	5.500000e-01	-1.279963e+03	-9.888062e+02	-2.911569e+02
28	5.115590e-01	3.321904e-02	4.644502e-02	5.400000e-01	-1.280149e+03	-9.887877e+02	-2.913612e+02
29	5.193777e-01	3.321904e-02	4.609411e-02	5.400000e-01	-1.280630e+03	-9.887390e+02	-2.918911e+02
30	5.286715e-01	3.321904e-02	4.568715e-02	5.500000e-01	-1.281188e+03	-9.886813e+02	-2.925069e+02
31	5.386033e-01	3.352962e-02	4.568715e-02	5.600000e-01	-1.282102e+03	-9.895340e+02	-2.925677e+02
32	5.424631e-01	3.352962e-02	4.552433e-02	5.500000e-01	-1.282325e+03	-9.895106e+02	-2.928148e+02
33	5.493806e-01	3.374273e-02	4.552433e-02	5.400000e-01	-1.282903e+03	-9.900471e+02	-2.928562e+02
34	5.490843e-01	3.374273e-02	4.553661e-02	5.500000e-01	-1.282886e+03	-9.900489e+02	-2.928376e+02
35	5.563910e-01	3.374273e-02	4.523662e-02	5.600000e-01	-1.283299e+03	-9.900055e+02	-2.932937e+02
36	5.508661e-01	3.374273e-02	4.546291e-02	5.600000e-01	-1.282988e+03	-9.900383e+02	-2.929496e+02
37	5.454499e-01	3.357644e-02	4.546291e-02	5.600000e-01	-1.282540e+03	-9.896230e+02	-2.929172e+02
38	5.532322e-01	3.357644e-02	4.514201e-02	5.700000e-01	-1.282981e+03	-9.895762e+02	-2.934049e+02
39	5.510804e-01	3.357644e-02	4.523006e-02	5.600000e-01	-1.282860e+03	-9.895891e+02	-2.932710e+02
40	5.416388e-01	3.357644e-02	4.562257e-02	5.500000e-01	-1.282321e+03	-9.896459e+02	-2.926748e+02
41	5.498406e-01	3.382970e-02	4.562257e-02	5.600000e-01	-1.282993e+03	-9.902691e+02	-2.927238e+02
42	5.502912e-01	3.382970e-02	4.560389e-02	5.600000e-01	-1.283019e+03	-9.902664e+02	-2.927521e+02
43	5.595629e-01	3.411350e-02	4.560389e-02	5.700000e-01	-1.283708e+03	-9.909013e+02	-2.928064e+02
44	5.584981e-01	3.411350e-02	4.564734e-02	5.800000e-01	-1.283648e+03	-9.909075e+02	-2.927404e+02
45	5.499339e-01	3.411350e-02	4.600140e-02	5.700000e-01	-1.283160e+03	-9.909573e+02	-2.922024e+02
46	5.402485e-01	3.411350e-02	4.641192e-02	5.600000e-01	-1.282594e+03	-9.910137e+02	-2.915799e+02
47	5.369718e-01	3.411350e-02	4.655331e-02	5.500000e-01	-1.282399e+03	-9.910329e+02	-2.913659e+02
48	5.384185e-01	3.411350e-02	4.649072e-02	5.400000e-01	-1.282485e+03	-9.910244e+02	-2.914606e+02
49	5.486199e-01	3.411350e-02	4.605646e-02	5.300000e-01	-1.283084e+03	-9.909649e+02	-2.921188e+02
50	5.651635e-01	3.411350e-02	4.537736e-02	5.400000e-01	-1.284020e+03	-9.908689e+02	-2.931512e+02
51	5.721797e-01	3.411350e-02	4.509829e-02	5.500000e-01	-1.284405e+03	-9.908284e+02	-2.935766e+02
52	5.858343e-01	3.411350e-02	4.456962e-02	5.400000e-01	-1.285134e+03	-9.907497e+02	-2.943838e+02
53	5.963630e-01	3.441868e-02	4.456962e-02	5.500000e-01	-1.285805e+03	-9.913612e+02	-2.944437e+02
54	5.978549e-01	3.441868e-02	4.451398e-02	5.600000e-01	-1.285882e+03	-9.913528e+02	-2.945289e+02
55	6.025372e-01	3.455320e-02	4.451398e-02	5.500000e-01	-1.286155e+03	-9.915995e+02	-2.945551e+02
56	6.389507e-01	3.455320e-02	4.322695e-02	5.600000e-01	-1.287930e+03	-9.913977e+02	-2.965325e+02
57	6.368213e-01	3.455320e-02	4.329916e-02	5.500000e-01	-1.287831e+03	-9.914094e+02	-2.964213e+02
58	6.361111e-01	3.455320e-02	4.332333e-02	5.500000e-01	-1.287797e+03	-9.914134e+02	-2.963841e+02
59	6.501493e-01	3.455320e-02	4.285305e-02	5.500000e-01	-1.288445e+03	-9.913360e+02	-2.971087e+02
60	6.558045e-01	3.455320e-02	4.266789e-02	5.500000e-01	-1.288699e+03	-9.913049e+02	-2.973943e+02
61	6.758894e-01	3.455320e-02	4.202914e-02	5.600000e-01	-1.289575e+03	-9.911947e+02	-2.983805e+02
62	6.884471e-01	3.455320e-02	4.164406e-02	5.600000e-01	-1.290102e+03	-9.911261e+02	-2.989758e+02
63	7.103944e-01	3.509965e-02	4.164406e-02	5.500000e-01	-1.291086e+03	-9.919930e+02	-2.990935e+02
64	6.755300e-01	3.509965e-02	4.270517e-02	5.600000e-01	-1.289627e+03	-9.921773e+02	-2.974494e+02
65	6.890676e-01	3.509965e-02	4.228359e-02	5.600000e-01	-1.290208e+03	-9.921056e+02	-2.981021e+02
66	6.979600e-01	3.509965e-02	4.201337e-02	5.600000e-01	-1.290579e+03	-9.920586e+02	-2.985208e+02
67	7.481040e-01	3.633863e-02	4.201337e-02	5.700000e-01	-1.292050e+03	-9.932740e+02	-2.987756e+02
68	7.705376e-01	3.687945e-02	4.201337e-02	5.600000e-01	-1.292394e+03	-9.935110e+02	-2.988835e+02
69	7.601382e-01	3.662974e-02	4.201337e-02	5.700000e-01	-1.292256e+03	-9.934222e+02	-2.988339e+02
70	7.761296e-01	3.662974e-02	4.157830e-02	5.600000e-01	-1.292860e+03	-9.933454e+02	-2.995145e+02
