#rate	A_maxlik	<A>	stdA	CI_5pc	CI_95pc
inf	5.428087e-03	5.067863e-03	1.681144e-03	4.663749e-03	5.411627e-03
1.000000e+00	5.420056e-03	5.060279e-03	1.678798e-03	4.656760e-03	5.403610e-03
8.317638e-01	5.418432e-03	5.058745e-03	1.678324e-03	4.655347e-03	5.401988e-03
6.918310e-01	5.416479e-03	5.056901e-03	1.677754e-03	4.653648e-03	5.400039e-03
5.754399e-01	5.414131e-03	5.054684e-03	1.677068e-03	4.651605e-03	5.397695e-03
4.786301e-01	5.411309e-03	5.052019e-03	1.676244e-03	4.649150e-03	5.394878e-03
3.981072e-01	5.407917e-03	5.048815e-03	1.675252e-03	4.646198e-03	5.391491e-03
3.311311e-01	5.403839e-03	5.044964e-03	1.674061e-03	4.642649e-03	5.387420e-03
2.754229e-01	5.398936e-03	5.040334e-03	1.672628e-03	4.638383e-03	5.382526e-03
2.290868e-01	5.393042e-03	5.034768e-03	1.670906e-03	4.633255e-03	5.376642e-03
1.905461e-01	5.385958e-03	5.028078e-03	1.668836e-03	4.627091e-03	5.369570e-03
1.584893e-01	5.377443e-03	5.020036e-03	1.666347e-03	4.619682e-03	5.361069e-03
1.318257e-01	5.367207e-03	5.010371e-03	1.663355e-03	4.610776e-03	5.350851e-03
1.096478e-01	5.354905e-03	4.998754e-03	1.659758e-03	4.600073e-03	5.338570e-03
9.120108e-02	5.340120e-03	4.984793e-03	1.655434e-03	4.587210e-03	5.323811e-03
7.585776e-02	5.322353e-03	4.968015e-03	1.650237e-03	4.571753e-03	5.306073e-03
6.309573e-02	5.301002e-03	4.947855e-03	1.643990e-03	4.553180e-03	5.284759e-03
5.248075e-02	5.275349e-03	4.923633e-03	1.636480e-03	4.530865e-03	5.259150e-03
4.365158e-02	5.244530e-03	4.894535e-03	1.627455e-03	4.504059e-03	5.228385e-03
3.630781e-02	5.207511e-03	4.859585e-03	1.616608e-03	4.471863e-03	5.191429e-03
3.019952e-02	5.163053e-03	4.817613e-03	1.603572e-03	4.433202e-03	5.147048e-03
2.511886e-02	5.109671e-03	4.767222e-03	1.587908e-03	4.386787e-03	5.093759e-03
2.089296e-02	5.045593e-03	4.706738e-03	1.569086e-03	4.331080e-03	5.029791e-03
1.737801e-02	4.968698e-03	4.634164e-03	1.546475e-03	4.264245e-03	4.953031e-03
1.445440e-02	4.876460e-03	4.547121e-03	1.519314e-03	4.184093e-03	4.860954e-03
1.202264e-02	4.765866e-03	4.442772e-03	1.486695e-03	4.088018e-03	4.750556e-03
1.000000e-02	4.633339e-03	4.317753e-03	1.447530e-03	3.972930e-03	4.618265e-03
8.317638e-03	4.474635e-03	4.168073e-03	1.400517e-03	3.835167e-03	4.459847e-03
6.918310e-03	4.284738e-03	3.989024e-03	1.344105e-03	3.670410e-03	4.270294e-03
5.754399e-03	4.057739e-03	3.775063e-03	1.276443e-03	3.473583e-03	4.043713e-03
4.786301e-03	3.786710e-03	3.519704e-03	1.195331e-03	3.238753e-03	3.773191e-03
3.981072e-03	3.463576e-03	3.215400e-03	1.098165e-03	2.959028e-03	3.450672e-03
3.311311e-03	3.078991e-03	2.853439e-03	9.818761e-04	2.626467e-03	3.066834e-03
2.754229e-03	2.622235e-03	2.423860e-03	8.428886e-04	2.232020e-03	2.610991e-03
2.290868e-03	2.081167e-03	1.915427e-03	6.771406e-04	1.765509e-03	2.071035e-03
1.905461e-03	1.442240e-03	1.315672e-03	4.804416e-04	1.215704e-03	1.433470e-03
1.584893e-03	6.906734e-04	6.110955e-04	2.517580e-04	5.705220e-04	6.835741e-04
1.318257e-03	-1.891813e-04	-2.124396e-04	1.073842e-04	-2.228991e-04	-1.825600e-04
1.096478e-03	-1.213144e-03	-1.168981e-03	3.973125e-04	-1.218922e-03	-1.055784e-03
9.120108e-04	-2.396039e-03	-2.271303e-03	7.889677e-04	-2.395434e-03	-2.059945e-03
