#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
0	9.614115e-03	1.000000e-01	1.019871e+00	8.900000e-01	-8.116132e+02	-8.106700e+02	-9.431409e-01
1	9.966856e-03	1.000000e-01	1.001661e+00	9.000000e-01	-8.133553e+02	-8.107203e+02	-2.635078e+00
2	6.746915e-04	2.601798e-02	1.001661e+00	8.900000e-01	-1.173875e+03	-1.170988e+03	-2.886444e+00
3	7.290031e-04	2.601798e-02	9.636268e-01	9.000000e-01	-1.177618e+03	-1.170798e+03	-6.820513e+00
4	7.864560e-04	2.601798e-02	9.277615e-01	9.100000e-01	-1.181231e+03	-1.170614e+03	-1.061705e+01
5	8.725401e-04	2.601798e-02	8.808071e-01	9.000000e-01	-1.186989e+03	-1.170345e+03	-1.664430e+01
6	8.837526e-04	2.601798e-02	8.752018e-01	9.000000e-01	-1.187654e+03	-1.170309e+03	-1.734455e+01
7	9.736047e-04	2.601798e-02	8.338390e-01	9.100000e-01	-1.192262e+03	-1.170033e+03	-2.222911e+01
8	1.041362e-03	2.601798e-02	8.062554e-01	9.200000e-01	-1.195290e+03	-1.169852e+03	-2.543750e+01
9	1.057172e-03	2.601798e-02	8.002042e-01	9.100000e-01	-1.196511e+03	-1.169781e+03	-2.673058e+01
10	1.107940e-03	2.601798e-02	7.816555e-01	9.200000e-01	-1.198455e+03	-1.169653e+03	-2.880216e+01
11	1.170319e-03	2.601798e-02	7.605388e-01	9.300000e-01	-1.200769e+03	-1.169514e+03	-3.125526e+01
12	1.682675e-03	2.601798e-02	6.342689e-01	9.300000e-01	-1.218586e+03	-1.167636e+03	-5.095027e+01
13	1.899171e-03	2.601798e-02	5.970236e-01	9.400000e-01	-1.223716e+03	-1.166947e+03	-5.676893e+01
14	2.064150e-03	2.601798e-02	5.726680e-01	9.400000e-01	-1.227636e+03	-1.166351e+03	-6.128558e+01
15	3.362321e-03	2.601798e-02	4.486978e-01	9.400000e-01	-1.248922e+03	-1.160936e+03	-8.798616e+01
16	3.972134e-03	2.601798e-02	4.128208e-01	9.500000e-01	-1.254544e+03	-1.158669e+03	-9.587429e+01
17	4.023311e-03	2.601798e-02	4.101868e-01	9.600000e-01	-1.253625e+03	-1.158404e+03	-9.522095e+01
18	5.097343e-03	2.601798e-02	3.644195e-01	9.500000e-01	-1.262653e+03	-1.153084e+03	-1.095692e+02
19	6.632656e-03	2.601798e-02	3.194698e-01	9.500000e-01	-1.268776e+03	-1.144619e+03	-1.241571e+02
20	6.507611e-03	2.577155e-02	3.194698e-01	9.400000e-01	-1.269877e+03	-1.143900e+03	-1.259763e+02
21	9.605025e-03	2.577155e-02	2.629610e-01	9.400000e-01	-1.271442e+03	-1.123186e+03	-1.482559e+02
22	7.312506e-03	2.577155e-02	3.013752e-01	9.500000e-01	-1.271528e+03	-1.140866e+03	-1.306622e+02
23	8.545863e-03	2.577155e-02	2.787806e-01	9.600000e-01	-1.273372e+03	-1.136107e+03	-1.372651e+02
24	8.864825e-03	2.577155e-02	2.737193e-01	9.500000e-01	-1.272716e+03	-1.131246e+03	-1.414701e+02
25	5.983621e-03	2.117325e-02	2.737193e-01	9.400000e-01	-1.282839e+03	-1.139268e+03	-1.435702e+02
26	7.231631e-03	2.117325e-02	2.489828e-01	9.500000e-01	-1.282748e+03	-1.130632e+03	-1.521167e+02
27	6.482853e-03	2.117325e-02	2.629689e-01	9.600000e-01	-1.283268e+03	-1.139615e+03	-1.436532e+02
