#rate	A_maxlik	<A>	stdA	CI_5pc	CI_95pc
inf	-3.597739e-03	-4.997979e-04	6.802211e-03	-3.783655e-03	-0.000000e+00
1.000000e+00	-1.176567e-03	-1.458361e-05	3.111002e-03	-1.176567e-03	1.261768e-03
8.317638e-01	-2.025418e-04	2.490016e-05	8.223796e-04	-2.025418e-04	2.728402e-04
6.918310e-01	-2.386947e-05	3.560490e-06	1.354475e-04	-2.386947e-05	2.078151e-05
5.754399e-01	-1.874313e-06	3.204546e-07	1.500512e-05	-1.874313e-06	7.967754e-07
4.786301e-01	-5.263526e-09	-3.877092e-08	9.632918e-07	-4.637681e-07	3.025873e-08
3.981072e-01	-0.000000e+00	-6.240764e-08	8.910178e-07	-5.479160e-07	-0.000000e+00
3.311311e-01	-0.000000e+00	-7.482843e-08	1.068835e-06	-6.582935e-07	-0.000000e+00
2.754229e-01	-0.000000e+00	-8.994809e-08	1.284843e-06	-7.913906e-07	-0.000000e+00
2.290868e-01	-0.000000e+00	-1.081319e-07	1.544615e-06	-9.514082e-07	-0.000000e+00
1.905461e-01	-0.000000e+00	-1.299900e-07	1.856888e-06	-1.143769e-06	-0.000000e+00
1.584893e-01	-0.000000e+00	-1.562633e-07	2.232256e-06	-1.375004e-06	-0.000000e+00
1.318257e-01	-0.000000e+00	-1.878424e-07	2.683454e-06	-1.652961e-06	-0.000000e+00
1.096478e-01	-0.000000e+00	-2.257965e-07	3.225775e-06	-1.987069e-06	-0.000000e+00
9.120108e-02	-0.000000e+00	-2.714097e-07	3.877589e-06	-2.388653e-06	-0.000000e+00
7.585776e-02	-0.000000e+00	-3.262232e-07	4.660954e-06	-2.871317e-06	-0.000000e+00
6.309573e-02	-0.000000e+00	-3.920864e-07	5.602350e-06	-3.451395e-06	-0.000000e+00
5.248075e-02	-0.000000e+00	-4.712179e-07	6.733555e-06	-4.148495e-06	-0.000000e+00
4.365158e-02	-0.000000e+00	-5.662773e-07	8.092691e-06	-4.986149e-06	-0.000000e+00
3.630781e-02	-0.000000e+00	-6.804518e-07	9.725472e-06	-5.992588e-06	-0.000000e+00
3.019952e-02	-0.000000e+00	-8.175574e-07	1.168668e-05	-7.201663e-06	-0.000000e+00
2.511886e-02	-0.000000e+00	-9.821596e-07	1.404194e-05	-8.653944e-06	-0.000000e+00
2.089296e-02	-0.000000e+00	-1.179715e-06	1.686976e-05	-1.039802e-05	-0.000000e+00
1.737801e-02	-0.000000e+00	-1.416736e-06	2.026401e-05	-1.249203e-05	-0.000000e+00
1.445440e-02	-0.000000e+00	-1.700983e-06	2.433677e-05	-1.500548e-05	-0.000000e+00
1.202264e-02	-0.000000e+00	-2.041689e-06	2.922168e-05	-1.802137e-05	-0.000000e+00
1.000000e-02	-0.000000e+00	-2.449806e-06	3.507778e-05	-2.163863e-05	-0.000000e+00
8.317638e-03	-0.000000e+00	-2.938290e-06	4.209387e-05	-2.597498e-05	-0.000000e+00
6.918310e-03	-0.000000e+00	-3.522409e-06	5.049351e-05	-3.117017e-05	-0.000000e+00
5.754399e-03	-0.000000e+00	-4.220068e-06	6.054039e-05	-3.738959e-05	-0.000000e+00
4.786301e-03	-0.000000e+00	-5.052129e-06	7.254412e-05	-4.482822e-05	-0.000000e+00
3.981072e-03	-0.000000e+00	-6.042704e-06	8.686607e-05	-5.371480e-05	-0.000000e+00
3.311311e-03	-0.000000e+00	-7.219347e-06	1.039247e-04	-6.431593e-05	-0.000000e+00
2.754229e-03	-0.000000e+00	-8.614341e-06	1.241955e-04	-7.693971e-05	-0.000000e+00
2.290868e-03	-0.000000e+00	-1.032035e-05	1.480535e-04	-9.193792e-05	-0.000000e+00
1.905461e-03	-0.000000e+00	-1.240793e-05	1.760593e-04	-1.097057e-04	-0.000000e+00
1.584893e-03	-0.000000e+00	-1.474814e-05	2.092437e-04	-1.306762e-04	-0.000000e+00
1.318257e-03	-0.000000e+00	-2.405079e-05	2.681383e-04	-1.553066e-04	0.000000e+00
1.096478e-03	-0.000000e+00	-3.427715e-05	3.759917e-04	-1.934676e-04	0.000000e+00
9.120108e-04	-0.000000e+00	-4.565448e-05	4.550345e-04	-2.279184e-04	0.000000e+00
7.585776e-04	-0.000000e+00	-6.049805e-05	5.534969e-04	-2.685051e-04	0.000000e+00
6.309573e-04	-0.000000e+00	-7.286499e-05	6.615273e-04	-3.146175e-04	0.000000e+00
5.248075e-04	-0.000000e+00	-8.416507e-05	7.673833e-04	-3.658164e-04	0.000000e+00
4.365158e-04	-0.000000e+00	-9.597171e-05	8.797501e-04	-4.208135e-04	-0.000000e+00
3.630781e-04	-0.000000e+00	-1.074601e-04	9.918498e-04	-4.767230e-04	-0.000000e+00
3.019952e-04	-0.000000e+00	-1.230947e-04	1.086070e-03	-5.279367e-04	-0.000000e+00
2.511886e-04	-0.000000e+00	-1.437990e-04	1.178655e-03	-5.642901e-04	-0.000000e+00
2.089296e-04	-0.000000e+00	-1.639388e-04	1.215938e-03	-5.681133e-04	0.000000e+00
1.737801e-04	-0.000000e+00	-1.529238e-04	1.135364e-03	-5.210581e-04	-0.000000e+00
1.445440e-04	-0.000000e+00	-1.742265e-04	1.557196e-03	-6.159491e-04	-0.000000e+00
1.202264e-04	-0.000000e+00	-6.190961e-04	4.933157e-03	-2.794180e-03	-0.000000e+00
1.000000e-04	-0.000000e+00	-1.924378e-03	7.973100e-03	-4.258843e-03	-0.000000e+00
8.317638e-05	-0.000000e+00	-2.628574e-03	8.513020e-03	-4.405635e-03	-0.000000e+00
6.918310e-05	-0.000000e+00	-1.984347e-03	8.193792e-03	-3.731931e-03	-0.000000e+00
5.754399e-05	-0.000000e+00	-1.213636e-03	6.064218e-03	-2.448211e-03	-0.000000e+00
4.786301e-05	-0.000000e+00	-1.329726e-05	3.025302e-04	-6.736586e-05	-0.000000e+00
3.981072e-05	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
3.311311e-05	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	0.000000e+00
2.754229e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.290868e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.905461e-05	9.390031e-03	5.616187e-03	3.448335e-02	0.000000e+00	1.646421e-02
1.584893e-05	3.561868e-02	1.964307e-02	8.455981e-02	0.000000e+00	3.797454e-02
1.318257e-05	5.821475e-02	4.771948e-02	5.240420e-02	3.045007e-02	5.821475e-02
1.096478e-05	7.675913e-02	7.537623e-02	5.254233e-03	7.371812e-02	7.676634e-02
9.120108e-06	9.079052e-02	9.596344e-02	3.189624e-02	8.746883e-02	1.034834e-01
7.585776e-06	9.983030e-02	1.105813e-01	5.649236e-02	9.639427e-02	1.245245e-01
6.309573e-06	1.035723e-01	1.189154e-01	7.576321e-02	1.004587e-01	1.387395e-01
