#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
0	2.521621e-03	5.000000e-02	9.957036e-01	5.000000e-01	-1.009347e+03	-1.009340e+03	-7.418281e-03
1	2.084177e-03	4.545665e-02	9.957036e-01	4.900000e-01	-1.039523e+03	-1.039539e+03	1.615623e-02
2	2.062364e-03	4.521814e-02	9.957036e-01	5.000000e-01	-1.041120e+03	-1.041138e+03	1.733163e-02
3	2.089343e-03	4.521814e-02	9.892542e-01	5.100000e-01	-1.041891e+03	-1.040612e+03	-1.278767e+00
4	2.084583e-03	4.521814e-02	9.903828e-01	5.000000e-01	-1.041756e+03	-1.040704e+03	-1.051352e+00
5	9.886327e-04	3.114014e-02	9.903828e-01	5.000000e-01	-1.135311e+03	-1.134324e+03	-9.864423e-01
6	9.952198e-04	3.114014e-02	9.870998e-01	5.100000e-01	-1.135804e+03	-1.134156e+03	-1.647952e+00
7	1.011011e-03	3.114014e-02	9.793605e-01	5.200000e-01	-1.136965e+03	-1.133749e+03	-3.216014e+00
8	7.635158e-04	2.706148e-02	9.793605e-01	5.200000e-01	-1.159678e+03	-1.156480e+03	-3.197826e+00
9	7.539726e-04	2.706148e-02	9.855390e-01	5.200000e-01	-1.158679e+03	-1.156734e+03	-1.945486e+00
10	7.637317e-04	2.706148e-02	9.792221e-01	5.200000e-01	-1.159700e+03	-1.156474e+03	-3.225973e+00
11	7.608373e-04	2.706148e-02	9.810829e-01	5.300000e-01	-1.159399e+03	-1.156551e+03	-2.847930e+00
12	3.546831e-04	1.847677e-02	9.810829e-01	5.200000e-01	-1.161091e+03	-1.158280e+03	-2.810522e+00
13	7.010961e-04	2.597733e-02	9.810829e-01	5.300000e-01	-1.164135e+03	-1.161292e+03	-2.843506e+00
14	4.959381e-04	2.184839e-02	9.810829e-01	5.300000e-01	-1.173703e+03	-1.170877e+03	-2.825462e+00
15	5.051061e-04	2.184839e-02	9.721385e-01	5.300000e-01	-1.175185e+03	-1.170536e+03	-4.648603e+00
16	5.071036e-04	2.184839e-02	9.702219e-01	5.200000e-01	-1.175502e+03	-1.170461e+03	-5.041405e+00
17	5.115360e-04	2.184839e-02	9.660094e-01	5.100000e-01	-1.176201e+03	-1.170293e+03	-5.907445e+00
18	5.089635e-04	2.184839e-02	9.684476e-01	5.000000e-01	-1.175796e+03	-1.170391e+03	-5.405733e+00
19	5.549783e-04	2.281467e-02	9.684476e-01	5.100000e-01	-1.175204e+03	-1.169794e+03	-5.410206e+00
20	5.656259e-04	2.281467e-02	9.592890e-01	5.200000e-01	-1.176720e+03	-1.169419e+03	-7.301295e+00
21	5.705816e-04	2.291439e-02	9.592890e-01	5.300000e-01	-1.176581e+03	-1.169280e+03	-7.301772e+00
22	5.762948e-04	2.291439e-02	9.545221e-01	5.200000e-01	-1.177369e+03	-1.169076e+03	-8.293083e+00
23	5.739967e-04	2.291439e-02	9.564310e-01	5.200000e-01	-1.177053e+03	-1.169158e+03	-7.895530e+00
24	5.816547e-04	2.291439e-02	9.501140e-01	5.100000e-01	-1.178097e+03	-1.168883e+03	-9.214125e+00
25	5.838374e-04	2.291439e-02	9.483363e-01	5.200000e-01	-1.178390e+03	-1.168804e+03	-9.586741e+00
26	5.896847e-04	2.291439e-02	9.436227e-01	5.200000e-01	-1.179169e+03	-1.168590e+03	-1.057809e+01
27	5.977081e-04	2.291439e-02	9.372679e-01	5.100000e-01	-1.180217e+03	-1.168294e+03	-1.192233e+01
28	6.037479e-04	2.291439e-02	9.325680e-01	5.100000e-01	-1.180992e+03	-1.168070e+03	-1.292228e+01
29	5.987533e-04	2.291439e-02	9.364495e-01	5.100000e-01	-1.180352e+03	-1.168256e+03	-1.209610e+01
30	5.982825e-04	2.291439e-02	9.368179e-01	5.200000e-01	-1.180291e+03	-1.168274e+03	-1.201787e+01
31	6.021932e-04	2.291439e-02	9.337710e-01	5.200000e-01	-1.180793e+03	-1.168127e+03	-1.266587e+01
32	6.024291e-04	2.291439e-02	9.335882e-01	5.200000e-01	-1.180824e+03	-1.168119e+03	-1.270480e+01
33	6.037535e-04	2.291439e-02	9.325637e-01	5.100000e-01	-1.180993e+03	-1.168070e+03	-1.292320e+01
34	6.114991e-04	2.291439e-02	9.266387e-01	5.000000e-01	-1.181969e+03	-1.167778e+03	-1.419088e+01
35	6.021417e-04	2.291439e-02	9.338110e-01	5.000000e-01	-1.180787e+03	-1.168129e+03	-1.265735e+01
36	6.181359e-04	2.291439e-02	9.216507e-01	5.000000e-01	-1.182789e+03	-1.167525e+03	-1.526427e+01
37	6.179691e-04	2.291439e-02	9.217751e-01	5.000000e-01	-1.182768e+03	-1.167531e+03	-1.523743e+01
38	6.464237e-04	2.291439e-02	9.012592e-01	4.900000e-01	-1.186131e+03	-1.166418e+03	-1.971246e+01
39	6.403093e-04	2.291439e-02	9.055520e-01	4.900000e-01	-1.185429e+03	-1.166661e+03	-1.876787e+01
40	6.536425e-04	2.291439e-02	8.962686e-01	4.900000e-01	-1.186925e+03	-1.166109e+03	-2.081618e+01
41	6.129905e-04	2.219040e-02	8.962686e-01	5.000000e-01	-1.187819e+03	-1.167007e+03	-2.081164e+01
42	6.105189e-04	2.219040e-02	8.980810e-01	5.100000e-01	-1.187516e+03	-1.167106e+03	-2.041018e+01
43	6.152584e-04	2.219040e-02	8.946153e-01	5.100000e-01	-1.188093e+03	-1.166915e+03	-2.117858e+01
44	6.293309e-04	2.219040e-02	8.845564e-01	5.100000e-01	-1.189762e+03	-1.166336e+03	-2.342541e+01
