#rate	A_maxlik	<A>	stdA	CI_5pc	CI_95pc
inf	0.000000e+00	-3.710846e-04	2.384739e-03	-9.227326e-04	0.000000e+00
1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
8.317638e-01	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
6.918310e-01	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
5.754399e-01	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
4.786301e-01	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
3.981072e-01	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
3.311311e-01	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
2.754229e-01	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
2.290868e-01	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
1.905461e-01	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
1.584893e-01	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
1.318257e-01	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
1.096478e-01	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
9.120108e-02	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
7.585776e-02	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
6.309573e-02	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
5.248075e-02	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
4.365158e-02	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
3.630781e-02	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
3.019952e-02	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
2.511886e-02	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
2.089296e-02	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
1.737801e-02	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
1.445440e-02	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
1.202264e-02	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
8.317638e-03	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
6.918310e-03	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
5.754399e-03	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
4.786301e-03	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
3.981072e-03	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
3.311311e-03	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
2.754229e-03	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
2.290868e-03	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
1.905461e-03	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
1.584893e-03	0.000000e+00	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00
