#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
0	3.701512e-01	3.042003e-02	5.000000e-02	4.900000e-01	-1.447517e+03	-1.163540e+03	-2.839769e+02
1	3.569169e-01	3.042003e-02	5.091855e-02	4.800000e-01	-1.446345e+03	-1.163626e+03	-2.827189e+02
2	3.511634e-01	3.042003e-02	5.133399e-02	4.800000e-01	-1.445814e+03	-1.163663e+03	-2.821515e+02
3	3.522963e-01	3.042003e-02	5.125138e-02	4.800000e-01	-1.445920e+03	-1.163656e+03	-2.822642e+02
4	3.499425e-01	3.042003e-02	5.142346e-02	4.700000e-01	-1.445700e+03	-1.163671e+03	-2.820294e+02
5	3.501549e-01	3.042926e-02	5.142346e-02	4.700000e-01	-1.445644e+03	-1.163614e+03	-2.820308e+02
6	3.516033e-01	3.042926e-02	5.131743e-02	4.600000e-01	-1.445780e+03	-1.163604e+03	-2.821754e+02
7	3.493235e-01	3.033044e-02	5.131743e-02	4.600000e-01	-1.446378e+03	-1.164218e+03	-2.821606e+02
8	3.561100e-01	3.033044e-02	5.082609e-02	4.600000e-01	-1.447005e+03	-1.164174e+03	-2.828316e+02
9	3.573630e-01	3.038376e-02	5.082609e-02	4.600000e-01	-1.446682e+03	-1.163843e+03	-2.828397e+02
10	3.516816e-01	3.038376e-02	5.123499e-02	4.600000e-01	-1.446161e+03	-1.163880e+03	-2.822811e+02
11	3.530401e-01	3.044239e-02	5.123499e-02	4.600000e-01	-1.445805e+03	-1.163515e+03	-2.822899e+02
12	3.492812e-01	3.044239e-02	5.150995e-02	4.500000e-01	-1.445454e+03	-1.163540e+03	-2.819148e+02
13	3.610902e-01	3.044239e-02	5.066066e-02	4.500000e-01	-1.446538e+03	-1.163463e+03	-2.830750e+02
14	3.540707e-01	3.014504e-02	5.066066e-02	4.500000e-01	-1.448335e+03	-1.165306e+03	-2.830291e+02
15	3.520310e-01	3.014504e-02	5.080722e-02	4.400000e-01	-1.448148e+03	-1.165319e+03	-2.828288e+02
16	3.545441e-01	3.014504e-02	5.062683e-02	4.400000e-01	-1.448378e+03	-1.165302e+03	-2.830754e+02
17	3.691741e-01	3.014504e-02	4.961354e-02	4.500000e-01	-1.449669e+03	-1.165206e+03	-2.844634e+02
