#rate	A_maxlik	<A>	stdA	CI_5pc	CI_95pc
inf	2.304906e-03	2.293783e-03	4.877583e-05	2.287305e-03	2.304977e-03
1.000000e+00	2.303254e-03	2.292190e-03	4.850243e-05	2.285756e-03	2.303325e-03
8.317638e-01	2.302920e-03	2.291868e-03	4.844715e-05	2.285443e-03	2.302991e-03
6.918310e-01	2.302518e-03	2.291481e-03	4.838069e-05	2.285067e-03	2.302589e-03
5.754399e-01	2.302035e-03	2.291016e-03	4.830080e-05	2.284614e-03	2.302106e-03
4.786301e-01	2.301455e-03	2.290456e-03	4.820477e-05	2.284070e-03	2.301525e-03
3.981072e-01	2.300757e-03	2.289784e-03	4.808934e-05	2.283415e-03	2.300827e-03
3.311311e-01	2.299918e-03	2.288975e-03	4.795059e-05	2.282629e-03	2.299988e-03
2.754229e-01	2.298909e-03	2.288003e-03	4.778383e-05	2.281683e-03	2.298979e-03
2.290868e-01	2.297696e-03	2.286834e-03	4.758340e-05	2.280546e-03	2.297767e-03
1.905461e-01	2.296239e-03	2.285430e-03	4.734254e-05	2.279179e-03	2.296309e-03
1.584893e-01	2.294487e-03	2.283741e-03	4.705310e-05	2.277536e-03	2.294556e-03
1.318257e-01	2.292381e-03	2.281711e-03	4.670532e-05	2.275562e-03	2.292450e-03
1.096478e-01	2.289849e-03	2.279271e-03	4.628751e-05	2.273188e-03	2.289918e-03
9.120108e-02	2.286806e-03	2.276338e-03	4.578562e-05	2.270335e-03	2.286874e-03
7.585776e-02	2.283149e-03	2.272813e-03	4.518286e-05	2.266905e-03	2.283216e-03
6.309573e-02	2.278754e-03	2.268577e-03	4.445910e-05	2.262784e-03	2.278820e-03
5.248075e-02	2.273473e-03	2.263486e-03	4.359030e-05	2.257830e-03	2.273538e-03
4.365158e-02	2.267126e-03	2.257368e-03	4.254775e-05	2.251878e-03	2.267190e-03
3.630781e-02	2.259502e-03	2.250018e-03	4.129721e-05	2.244726e-03	2.259564e-03
3.019952e-02	2.250342e-03	2.241188e-03	3.979797e-05	2.236134e-03	2.250403e-03
2.511886e-02	2.239341e-03	2.230581e-03	3.800177e-05	2.225813e-03	2.239399e-03
2.089296e-02	2.226129e-03	2.217843e-03	3.585163e-05	2.213417e-03	2.226185e-03
1.737801e-02	2.210269e-03	2.202549e-03	3.328080e-05	2.198533e-03	2.210321e-03
1.445440e-02	2.191232e-03	2.184191e-03	3.021198e-05	2.180665e-03	2.191281e-03
1.202264e-02	2.168391e-03	2.162162e-03	2.655791e-05	2.159221e-03	2.168436e-03
1.000000e-02	2.140998e-03	2.135737e-03	2.222610e-05	2.133496e-03	2.141038e-03
