#Time, s	DA-A-D HemK 112
0.001388	0.7347022
0.002788	0.8902385
0.004188	1.172288
0.0056	1.194244
0.007025	0.977553
0.008463	1.115489
0.009913	0.9707048
0.011363	1.115024
0.012825	0.8304263
0.0143	0.9993302
0.015788	1.337713
0.017288	1.099875
0.018788	0.8463552
0.020313	0.7357568
0.021838	0.9946324
0.023375	0.8551483
0.024925	0.9884553
0.026475	1.012054
0.02805	0.8162094
0.029625	1.122666
0.031225	1.04935
0.032825	0.9119061
0.034438	0.723567
0.036063	0.9169464
0.0377	1.005192
0.03935	0.9977689
0.041013	0.7698745
0.042675	0.9079068
0.044363	0.8473002
0.04605	1.055869
0.047763	0.6852034
0.049475	0.8983056
0.0512	1.106135
0.05295	1.095027
0.0547	1.153319
0.056463	1.021875
0.05825	0.8932654
0.060038	1.016779
0.061838	1.027709
0.06365	0.7959935
0.065475	1.054842
0.067325	0.9073727
0.069175	1.172508
0.071038	0.7994861
0.072913	0.7605062
0.074813	1.143471
0.076713	1.172932
0.078638	0.9032089
0.080563	0.8874581
0.082513	0.8173599
0.084463	0.8160725
0.086438	1.171343
0.088425	0.8587778
0.090425	1.076687
0.092438	0.8744739
0.094463	0.9187133
0.0965	0.9665137
0.098563	0.8207977
0.100625	0.9019215
0.102712	0.9790048
0.104813	0.9039623
0.106925	1.000344
0.10905	0.9560496
0.111188	1.041926
0.11335	1.152018
0.115525	1.009342
0.117712	1.079153
0.119912	0.8936899
0.122125	0.9224935
0.124362	1.005247
0.126612	0.8182091
0.128875	1.045213
0.13115	0.9353407
0.13345	1.027298
0.135762	0.9867021
0.138087	0.8756244
0.140437	0.8765968
0.142788	0.8894715
0.145162	0.7452894
0.147563	1.182876
0.149975	1.049747
0.1524	0.7968975
0.154838	0.8435063
0.1573	0.8158396
0.159775	0.9489823
0.162262	1.110655
0.164775	0.8285499
0.167313	1.189258
0.16985	0.8104022
0.172412	0.7629305
0.175	1.063525
0.1776	1.03579
0.180212	0.9699789
0.18285	0.8046497
0.1855	0.9726497
0.188175	0.996002
0.190863	1.135185
0.193575	1.073099
0.1963	0.800527
0.19905	0.8509298
0.201813	0.9380252
0.2046	0.9134812
0.207412	0.9269859
0.210238	0.9164944
0.213075	1.137308
0.215937	0.9986865
0.218825	1.148936
0.221725	0.9822235
0.22465	0.9997686
0.227588	0.914933
0.230562	1.112079
0.233537	0.8118814
0.23655	1.053568
0.239575	0.9396551
0.242625	0.9173573
0.245687	0.9417232
0.248775	1.107724
0.251888	1.089275
0.255025	1.232429
0.258175	1.070634
0.26135	0.8490123
0.26455	0.915659
0.267763	0.9689242
0.271013	0.9054551
0.274275	1.028189
0.277562	0.9864693
0.280875	0.6836557
0.2842	0.8589833
0.287562	1.05617
0.290938	1.3709
0.29435	1.043309
0.297775	0.982511
0.301225	0.8954431
0.3047	1.069689
0.3082	0.930451
0.311713	0.906633
0.315262	1.128117
0.318837	0.943942
0.322437	1.046816
0.32605	0.7774623
0.3297	0.9671026
0.333375	0.8449308
0.337075	0.8459443
0.340788	0.9782378
0.344537	1.021929
0.348312	1.061841
0.352113	1.084809
0.355938	0.9337656
0.3598	0.9840587
0.363675	0.9388469
0.367588	0.8913068
0.371513	1.155113
0.375475	1.028682
0.379463	1.036995
0.383487	1.110476
0.387525	1.002001
0.3916	0.8196609
0.3957	1.008411
0.399837	0.6893671
0.403987	0.9184804
0.408175	1.037845
0.412387	0.9178504
0.416638	0.8576821
0.420913	1.004508
0.425213	0.8888277
0.42955	0.9934271
0.433912	0.9560086
0.438313	0.9254793
0.442737	0.8018419
0.447188	1.254453
0.451675	1.097876
0.456187	0.9860448
0.460737	1.049445
0.465325	1.058266
0.469925	1.147347
0.474575	1.125734
0.47925	0.7954183
0.483963	0.943038
0.4887	1.227827
0.493475	1.042762
0.498275	0.9942078
0.503125	0.8877183
0.508	0.7045427
0.5129	0.9921807
0.51785	1.007589
0.522825	1.088932
0.527825	1.192408
0.532875	0.7554796
0.53795	1.049774
0.543075	0.9188365
0.548225	0.8433831
0.553412	0.8303578
0.558625	1.065908
0.563887	1.137568
0.569188	0.7122812
0.574512	1.141019
0.579888	1.006521
0.585288	0.9073863
0.590738	0.9578302
0.596213	0.8640783
0.601737	1.02386
0.607288	1.114544
0.612888	0.9104269
0.618525	1.013465
0.6242	1.02801
0.629912	0.7536716
0.635662	0.9335601
0.64145	0.9937695
0.647287	1.16077
0.653162	1.081837
0.659075	0.9952076
0.665025	0.7996231
0.671025	0.9739097
0.677063	1.106409
0.683137	0.7151163
0.689263	1.057239
0.695425	1.188135
0.701638	0.8767338
0.707887	1.010383
0.714175	1.137212
0.720513	0.9411891
0.7269	1.079756
0.733325	1.015136
0.739788	1.241989
0.7463	0.8765147
0.752863	0.8479165
0.759462	0.9431613
0.766113	1.126693
0.772812	1.09663
0.779562	1.153675
0.78635	0.7212797
0.793187	0.7410847
0.800075	0.8241122
0.807	1.056855
0.813987	0.936546
0.821012	0.9771147
0.828088	1.016149
0.835213	1.170138
0.842387	0.7177186
0.849612	0.8290703
0.856888	0.9442981
0.864213	1.086042
0.871588	0.8986343
0.879025	1.041584
0.8865	0.8888551
0.894037	1.048103
0.901613	1.141649
0.90925	0.8875539
0.916937	0.8822123
0.924688	0.9655412
0.932475	1.107285
0.940325	1.115476
0.948237	1.041022
0.956187	1.160003
0.964212	0.6758077
0.972275	0.9659658
0.9804	0.9689242
0.988587	1.071387
0.996825	1.052404
1.00513	0.8130866
1.01347	0.7998696
1.02189	1.004343
1.03035	0.7775445
1.03889	1.083015
1.04747	0.9094545
1.05611	0.9927697
1.06483	1.06962
1.07359	0.8956622
1.08242	1.151223
1.09131	1.055444
1.10026	1.131391
1.10927	0.9376554
1.11835	0.9520229
1.12749	0.9833465
1.13669	0.9847299
1.14595	0.9341765
1.15529	1.131816
1.16467	0.8599283
1.17414	0.919535
1.18366	1.2464
1.19325	0.9506395
1.20291	1.129282
1.21264	1.25333
1.22242	1.175863
1.23229	0.8368499
1.24221	0.8898001
1.25221	0.9753615
1.26227	1.012095
1.27241	0.7739971
1.28262	0.9112898
1.2929	1.019765
1.30325	1.187724
1.31366	0.875145
1.32416	1.074674
1.33473	1.025367
1.34536	1.138321
1.35608	0.8662971
1.36686	0.915974
1.37773	0.9404768
1.38866	0.9025926
1.39966	0.9027296
1.41076	0.7357705
1.42192	0.966363
1.43316	0.7704086
1.44449	0.7641631
1.45589	1.040543
1.46736	0.8637085
1.47892	0.9649797
1.49056	0.7718194
1.50227	1.166577
1.51408	1.140307
1.52596	1.030284
1.53793	1.087699
1.54996	0.9309441
1.5621	1.039159
1.57431	0.9711704
1.58661	0.985401
1.599	0.9612542
1.61146	0.8599557
1.62402	1.076578
1.63666	0.9928108
1.6494	1.110641
1.66221	0.9927149
1.67513	0.7825711
1.68813	0.9272187
1.70121	0.8182091
1.71439	1.004206
1.72766	1.082892
1.74102	1.145142
1.75447	0.9986865
1.76803	0.9269174
1.78166	1.17637
1.7954	0.9721566
1.80924	0.8705294
1.82316	1.079221
1.83719	0.8319466
1.8513	0.8798977
1.86553	1.092233
1.87984	0.7601364
1.89426	0.9548854
1.90877	0.8575177
1.92339	1.054869
1.93811	0.8843216
1.95292	1.009794
1.96785	1.317635
1.98287	0.9441064
1.99801	0.8765968
2.01325	1.036968
2.02859	0.9176312
2.04404	0.9936873
2.05959	0.9691708
2.07525	1.250111
2.09103	1.106847
2.10691	1.173713
2.1229	0.8354391
2.139	0.9837985
2.15521	0.8015406
2.17154	0.8271254
2.18797	1.035886
2.20452	0.9904687
2.2212	0.9833192
2.23797	1.141143
2.25487	0.9203157
2.2719	1.050459
2.28903	0.9608707
2.30629	0.8915259
2.32365	1.11301
2.34115	0.8843216
2.35876	0.8828835
2.3765	0.9907563
2.39436	0.8838422
2.41234	1.110737
2.43045	0.9449967
2.44869	1.157085
2.46704	1.242318
2.48552	1.101149
2.50415	0.9313276
2.52289	0.8664478
2.54176	0.9150289
2.56076	0.898785
2.5799	1.049952
2.59917	0.959323
2.61858	0.8763914
2.63811	0.9818125
2.65779	0.8402877
2.6776	1.069031
2.69754	0.7856665
2.71762	0.9979332
2.73785	0.9161931
2.75821	1.100588
2.77872	1.08859
2.79938	0.8965525
2.82016	0.8877046
2.8411	0.94701
2.86217	0.9598298
2.8834	0.8919094
2.90477	0.981251
2.9263	0.8997164
2.94796	0.8610788
2.96979	1.136732
2.99176	0.9948926
3.01389	0.9660754
3.03616	0.9615419
3.05859	0.9295882
3.08118	0.8881566
3.10392	1.266848
3.12683	1.074469
3.14989	0.9658425
3.1731	0.8157575
3.19649	0.9445173
3.22003	1.115174
3.24374	0.8658863
3.26761	0.8811303
3.29165	0.9386141
3.31585	0.9067289
3.34021	1.113175
3.36476	0.9554607
3.38946	0.9153165
3.41435	0.8478481
3.4394	1.091028
3.46462	1.011794
3.49003	1.075318
3.51561	1.130103
3.54136	1.110394
3.5673	0.9704309
3.59341	0.81573
3.61971	0.8185104
3.64619	0.9396687
3.67285	1.033133
3.69969	0.9418191
3.72673	1.097835
3.75394	1.131446
3.78135	0.7467961
3.80895	1.180397
3.83674	0.9182886
3.86471	1.069908
3.89289	0.8118677
3.92126	0.8386304
3.94983	1.189683
3.97859	0.9861406
4.00756	0.8286458
4.03673	1.047487
4.06609	1.103409
4.09566	1.11664
4.12544	1.05428
4.15543	1.039721
4.18561	0.8915944
4.21601	1.084234
4.24662	0.9639935
4.27744	0.8330286
4.30848	0.8604488
4.33973	0.9849901
4.3712	1.275696
4.40289	0.8831574
4.43479	1.157688
4.46691	0.9266708
4.49926	1.174411
4.53184	1.045377
4.56464	0.904606
4.59766	1.13613
4.63093	0.9093586
4.66441	0.6613032
4.69812	1.03379
4.73208	0.820017
4.76626	0.973444
4.80069	1.037365
4.83535	0.7349213
4.87026	1.136678
4.9054	1.036393
4.94079	1.119311
4.97643	1.024271
5.01231	0.9242055
5.04844	1.001878
5.08481	0.9923725
5.12145	1.124721
5.15834	0.6793276
5.19548	1.009876
5.23287	0.8225508
5.27054	1.132336
5.30846	1.082591
5.34664	0.9665685
5.38509	0.8713237
5.4238	0.7509735
5.46279	0.9214252
5.50204	0.8574082
5.54156	0.6553316
5.58136	1.065032
5.62144	1.242277
5.66179	1.149566
5.70241	0.8861432
5.74334	1.005672
5.78452	0.7407148
5.82601	1.056485
5.86779	0.9513518
5.90984	1.05039
5.95219	1.000289
5.99484	1.009712
6.03778	0.9399974
6.08101	0.9388881
6.12455	0.866845
6.1684	0.9416547
6.21254	0.8774186
6.25699	0.9368336
6.30175	1.21509
6.34681	1.155182
6.3922	0.8654479
6.43789	1.081153
6.4839	1.024669
6.53024	1.144731
6.57689	0.8213729
6.62386	1.131364
6.67116	1.02823
6.71879	1.029175
6.76675	1.007329
6.81504	0.8220851
6.86366	0.9636648
6.91262	0.8668587
6.96193	1.004987
7.01158	0.811402
7.06156	0.990948
7.1119	0.9937421
7.16257	0.9223017
7.21361	1.028832
7.265	1.046391
7.31675	0.7674229
7.36885	1.284202
7.42131	0.9173847
7.47415	0.9551731
7.52734	0.8276185
7.5809	0.8249066
7.63484	0.8967443
7.68915	1.007
7.74382	1.238113
7.7989	0.8258517
7.85434	0.9863734
7.91017	1.137185
7.96639	1.23006
8.023	0.8719127
8.07999	0.9663082
8.13739	1.198216
8.19518	1.055869
8.25338	0.867612
8.31196	0.8754053
8.37097	1.132007
8.43039	0.9672396
8.4902	0.9194391
8.55044	0.8125799
8.6111	0.9787446
8.67218	1.129912
8.73368	0.9798266
8.7956	0.7171845
8.85795	1.219075
8.92074	1.094027
8.98396	1.291351
9.04762	1.025888
9.11172	1.113997
9.17626	1.040529
9.24126	0.8877457
9.3067	1.031928
9.3726	1.033366
9.43895	0.8136071
9.50578	0.8154561
9.57305	1.149566
9.64079	1.183643
9.709	1.075304
9.77769	1.198448
9.84685	0.8390687
9.91649	1.08911
9.98661	1.165276
10.0572	1.010767
10.1283	1.152511
10.1999	1.064648
10.272	1.066922
10.3446	1.164892
10.4177	1.124241
10.4913	1.3128
10.5654	0.970965
10.64	0.8760353
10.7152	1.401388
10.7908	1.121529
10.867	1.077742
10.9437	1.214569
11.021	1.149155
11.0987	1.137691
11.1771	0.9875787
11.2559	1.213076
11.3353	1.232566
11.4153	1.099752
11.4958	1.113901
11.5769	1.00385
11.6585	1.384309
11.7407	1.156168
11.8235	1.406784
11.9068	1.294173
11.9907	1.303979
12.0752	1.573072
12.1603	0.9948378
12.246	1.103163
12.3323	1.337494
12.4192	1.194915
12.5066	1.215487
12.5947	1.477567
12.6834	1.260658
12.7727	1.355149
12.8626	1.148717
12.9532	1.275463
13.0443	1.137883
13.1361	1.534818
13.2286	1.115558
13.3217	1.191751
13.4154	1.232717
13.5098	1.415358
13.6048	1.257069
13.7005	1.470322
13.7968	1.419221
13.8939	1.506179
13.9916	1.458173
14.0899	1.481402
14.189	1.689012
14.2887	1.347739
14.3891	1.276203
14.4903	1.532476
14.5921	1.413592
14.6946	1.495085
14.7979	1.504248
14.9018	1.235922
15.0065	1.285462
15.1119	1.539585
15.2181	1.819169
15.3249	1.220376
15.4326	1.584851
15.5409	1.672495
15.65	1.647841
15.7599	1.685616
15.8705	1.506946
15.9819	1.308307
16.0941	1.689738
16.207	1.758152
16.3208	1.639431
16.4353	1.758576
16.5506	1.51174
16.6667	2.041338
16.7836	1.720541
16.9013	1.799583
17.0199	1.771944
17.1392	1.840659
17.2594	1.711721
17.3804	1.890651
17.5023	1.411523
17.625	1.945929
17.7486	2.088961
17.873	1.958845
17.9983	1.786585
18.1244	1.897485
18.2514	1.966844
18.3793	1.829222
18.5081	1.6624
18.6378	1.758289
18.7684	2.252386
18.8999	1.918208
19.0322	1.99525
19.1656	2.135049
19.2998	2.043544
19.435	2.299502
19.5711	2.379776
19.7081	1.95738
19.8461	2.36356
19.9851	2.37553
20.125	2.09244
20.2659	2.160922
20.4077	2.209777
20.5506	2.463092
20.6944	2.177467
20.8392	2.603617
20.9851	2.345905
21.1319	2.496949
21.2798	2.324799
21.4287	2.249948
21.5786	2.304117
21.7296	2.397445
21.8816	2.258495
22.0346	2.465297
22.1888	2.777438
22.344	2.697232
22.5002	2.351233
22.6576	2.616587
22.816	2.521562
22.9755	2.534874
23.1362	2.75614
23.298	2.684713
23.4608	2.701916
23.6248	2.621997
23.79	2.679522
23.9563	2.82291
24.1237	2.831634
24.2923	2.655841
24.4621	2.950163
24.6331	2.689986
24.8052	2.787299
24.9785	2.817486
25.153	3.073143
25.3288	3.007729
25.5057	2.870532
25.6839	2.8258
25.8633	3.181687
26.044	3.317829
26.2259	2.738101
26.4091	3.016577
26.5935	3.137927
26.7793	2.933631
26.9663	3.351947
27.1546	3.11693
27.3442	2.919127
27.5351	3.265029
27.7274	3.314651
27.9209	2.891748
28.1159	3.566829
28.3121	3.096879
28.5098	3.435947
28.7088	3.537916
28.9092	3.33988
29.111	3.423004
29.3141	3.291395
29.5187	3.128586
29.7247	3.399186
29.9321	3.482145
30.141	3.28934
30.3513	3.432413
30.5631	3.398597
30.7763	3.622587
