#timescale(s)	amplitude
inf	2.499601e-01
1.000000e+03	2.033012e-01
8.709636e+02	1.937451e-01
7.585776e+02	1.821805e-01
6.606934e+02	1.682325e-01
5.754399e+02	1.514926e-01
5.011872e+02	1.315369e-01
4.365158e+02	1.079594e-01
3.801894e+02	8.042524e-02
3.311311e+02	4.875043e-02
2.884032e+02	1.301392e-02
2.511886e+02	-2.629407e-02
2.187762e+02	-6.808953e-02
1.905461e+02	-1.104901e-01
1.659587e+02	-1.506183e-01
1.445440e+02	-1.844666e-01
1.258925e+02	-2.069102e-01
1.096478e+02	-2.119835e-01
9.549926e+01	-1.935564e-01
8.317638e+01	-1.465279e-01
7.244360e+01	-6.857488e-02
6.309573e+01	3.768348e-02
5.495409e+01	1.625225e-01
4.786301e+01	2.877091e-01
4.168694e+01	3.868977e-01
3.630781e+01	4.288764e-01
3.162278e+01	3.842222e-01
2.754229e+01	2.347887e-01
2.398833e+01	-1.615162e-02
2.089296e+01	-3.367805e-01
1.819701e+01	-6.667628e-01
1.584893e+01	-9.272272e-01
1.380384e+01	-1.040242e+00
1.202264e+01	-9.531326e-01
1.047129e+01	-6.596562e-01
9.120108e+00	-2.094478e-01
7.943282e+00	2.998462e-01
6.918310e+00	7.473853e-01
6.025596e+00	1.023864e+00
5.248075e+00	1.064571e+00
4.570882e+00	8.690241e-01
3.981072e+00	5.000262e-01
3.467369e+00	6.264250e-02
3.019952e+00	-3.290092e-01
2.630268e+00	-5.851713e-01
2.290868e+00	-6.629584e-01
1.995262e+00	-5.719408e-01
1.737801e+00	-3.634832e-01
1.513561e+00	-1.098801e-01
1.318257e+00	1.185213e-01
1.148154e+00	2.711821e-01
1.000000e+00	3.263422e-01
8.709636e-01	2.906953e-01
7.585776e-01	1.919411e-01
6.606934e-01	6.764709e-02
5.754399e-01	-4.605641e-02
5.011872e-01	-1.231550e-01
4.365158e-01	-1.521936e-01
3.801894e-01	-1.361962e-01
3.311311e-01	-8.895394e-02
2.884032e-01	-2.934869e-02
2.511886e-01	2.443468e-02
2.187762e-01	5.933833e-02
1.905461e-01	6.974070e-02
1.659587e-01	5.755656e-02
1.445440e-01	3.050208e-02
1.258925e-01	-8.214228e-04
1.096478e-01	-2.620269e-02
9.549926e-02	-3.860487e-02
8.317638e-02	-3.579116e-02
7.244360e-02	-2.047916e-02
6.309573e-02	8.970193e-04
5.495409e-02	2.041478e-02
4.786301e-02	3.124545e-02
4.168694e-02	2.982892e-02
3.630781e-02	1.693881e-02
3.162278e-02	-2.740927e-03
2.754229e-02	-2.237107e-02
2.398833e-02	-3.536091e-02
2.089296e-02	-3.750164e-02
1.819701e-02	-2.809923e-02
1.584893e-02	-9.858157e-03
1.380384e-02	1.224950e-02
1.202264e-02	3.262753e-02
1.047129e-02	4.667040e-02
9.120108e-03	5.189709e-02
7.943282e-03	4.831181e-02
6.918310e-03	3.794417e-02
6.025596e-03	2.381925e-02
5.248075e-03	8.820559e-03
4.570882e-03	-5.104751e-03
3.981072e-03	-1.717541e-02
3.467369e-03	-2.749494e-02
3.019952e-03	-3.648721e-02
2.630268e-03	-4.431724e-02
2.290868e-03	-5.053342e-02
1.995262e-03	-5.408849e-02
1.737801e-03	-5.375080e-02
1.513561e-03	-4.872700e-02
1.318257e-03	-3.918930e-02
1.148154e-03	-2.643588e-02
1.000000e-03	-1.259706e-02
