#time(s)	value
1.388000e-03	1.781691e-02
2.788000e-03	8.872772e-02
4.188000e-03	1.148172e-01
5.600000e-03	1.217336e-01
7.025000e-03	1.203359e-01
8.463000e-03	1.155768e-01
9.913000e-03	1.097733e-01
1.136300e-02	1.040451e-01
1.282500e-02	9.880955e-02
1.430000e-02	9.423979e-02
1.578800e-02	9.037125e-02
1.728800e-02	8.717258e-02
1.878800e-02	8.459707e-02
2.031300e-02	8.252751e-02
2.183800e-02	8.092411e-02
2.337500e-02	7.969948e-02
2.492500e-02	7.879082e-02
2.647500e-02	7.814813e-02
2.805000e-02	7.771389e-02
2.962500e-02	7.745497e-02
3.122500e-02	7.733285e-02
3.282500e-02	7.732072e-02
3.443800e-02	7.739323e-02
3.606300e-02	7.753039e-02
3.770000e-02	7.771563e-02
3.935000e-02	7.793547e-02
4.101300e-02	7.817883e-02
4.267500e-02	7.843452e-02
4.436300e-02	7.869951e-02
4.605000e-02	7.896392e-02
4.776300e-02	7.922750e-02
4.947500e-02	7.948270e-02
5.120000e-02	7.972917e-02
5.295000e-02	7.996665e-02
5.470000e-02	8.019045e-02
5.646300e-02	8.040161e-02
5.825000e-02	8.060086e-02
6.003800e-02	8.078553e-02
6.183800e-02	8.095705e-02
6.365000e-02	8.111574e-02
6.547500e-02	8.126215e-02
6.732500e-02	8.139769e-02
6.917500e-02	8.152119e-02
7.103800e-02	8.163431e-02
7.291300e-02	8.173776e-02
7.481300e-02	8.183288e-02
7.671300e-02	8.191920e-02
7.863800e-02	8.199858e-02
8.056300e-02	8.207074e-02
8.251300e-02	8.213730e-02
8.446300e-02	8.219809e-02
8.643800e-02	8.225453e-02
8.842500e-02	8.230680e-02
9.042500e-02	8.235550e-02
9.243800e-02	8.240116e-02
9.446300e-02	8.244424e-02
9.650000e-02	8.248520e-02
9.856300e-02	8.252472e-02
1.006250e-01	8.256265e-02
1.027120e-01	8.259983e-02
1.048130e-01	8.263636e-02
1.069250e-01	8.267246e-02
1.090500e-01	8.270841e-02
1.111880e-01	8.274444e-02
1.133500e-01	8.278092e-02
1.155250e-01	8.281783e-02
1.177120e-01	8.285530e-02
1.199120e-01	8.289347e-02
1.221250e-01	8.293244e-02
1.243620e-01	8.297249e-02
1.266120e-01	8.301350e-02
1.288750e-01	8.305551e-02
1.311500e-01	8.309854e-02
1.334500e-01	8.314287e-02
1.357620e-01	8.318826e-02
1.380870e-01	8.323474e-02
1.404370e-01	8.328254e-02
1.427880e-01	8.333116e-02
1.451620e-01	8.338103e-02
1.475630e-01	8.343222e-02
1.499750e-01	8.348437e-02
1.524000e-01	8.353746e-02
1.548380e-01	8.359147e-02
1.573000e-01	8.364659e-02
1.597750e-01	8.370254e-02
1.622620e-01	8.375925e-02
1.647750e-01	8.381698e-02
1.673130e-01	8.387567e-02
1.698500e-01	8.393467e-02
1.724120e-01	8.399453e-02
1.750000e-01	8.405522e-02
1.776000e-01	8.411638e-02
1.802120e-01	8.417795e-02
1.828500e-01	8.424021e-02
1.855000e-01	8.430279e-02
1.881750e-01	8.436595e-02
1.908630e-01	8.442937e-02
1.935750e-01	8.449326e-02
1.963000e-01	8.455732e-02
1.990500e-01	8.462181e-02
2.018130e-01	8.468639e-02
2.046000e-01	8.475130e-02
2.074120e-01	8.481652e-02
2.102380e-01	8.488177e-02
2.130750e-01	8.494696e-02
2.159370e-01	8.501237e-02
2.188250e-01	8.507801e-02
2.217250e-01	8.514353e-02
2.246500e-01	8.520921e-02
2.275880e-01	8.527476e-02
2.305620e-01	8.534067e-02
2.335370e-01	8.540615e-02
2.365500e-01	8.547201e-02
2.395750e-01	8.553765e-02
2.426250e-01	8.560335e-02
2.456870e-01	8.566883e-02
2.487750e-01	8.573437e-02
2.518880e-01	8.579993e-02
2.550250e-01	8.586550e-02
2.581750e-01	8.593084e-02
2.613500e-01	8.599618e-02
2.645500e-01	8.606153e-02
2.677630e-01	8.612664e-02
2.710130e-01	8.619199e-02
2.742750e-01	8.625707e-02
2.775620e-01	8.632214e-02
2.808750e-01	8.638722e-02
2.842000e-01	8.645202e-02
2.875620e-01	8.651705e-02
2.909380e-01	8.658184e-02
2.943500e-01	8.664682e-02
2.977750e-01	8.671154e-02
3.012250e-01	8.677624e-02
3.047000e-01	8.684091e-02
3.082000e-01	8.690554e-02
3.117130e-01	8.696992e-02
3.152620e-01	8.703445e-02
3.188370e-01	8.709896e-02
3.224370e-01	8.716342e-02
3.260500e-01	8.722760e-02
3.297000e-01	8.729193e-02
3.333750e-01	8.735619e-02
3.370750e-01	8.742038e-02
3.407880e-01	8.748426e-02
3.445370e-01	8.754824e-02
3.483120e-01	8.761213e-02
3.521130e-01	8.767592e-02
3.559380e-01	8.773955e-02
3.598000e-01	8.780324e-02
3.636750e-01	8.786657e-02
3.675880e-01	8.792994e-02
3.715130e-01	8.799291e-02
3.754750e-01	8.805586e-02
3.794630e-01	8.811860e-02
3.834870e-01	8.818127e-02
3.875250e-01	8.824350e-02
3.916000e-01	8.830563e-02
3.957000e-01	8.836744e-02
3.998370e-01	8.842910e-02
4.039870e-01	8.849023e-02
4.081750e-01	8.855117e-02
4.123870e-01	8.861168e-02
4.166380e-01	8.867196e-02
4.209130e-01	8.873175e-02
4.252130e-01	8.879106e-02
4.295500e-01	8.885000e-02
4.339120e-01	8.890840e-02
4.383130e-01	8.896639e-02
4.427370e-01	8.902375e-02
4.471880e-01	8.908048e-02
4.516750e-01	8.913666e-02
4.561870e-01	8.919214e-02
4.607370e-01	8.924702e-02
4.653250e-01	8.930127e-02
4.699250e-01	8.935455e-02
4.745750e-01	8.940726e-02
4.792500e-01	8.945908e-02
4.839630e-01	8.951010e-02
4.887000e-01	8.956016e-02
4.934750e-01	8.960934e-02
4.982750e-01	8.965749e-02
5.031250e-01	8.970480e-02
5.080000e-01	8.975100e-02
5.129000e-01	8.979604e-02
5.178500e-01	8.984013e-02
5.228250e-01	8.988298e-02
5.278250e-01	8.992457e-02
5.328750e-01	8.996507e-02
5.379500e-01	9.000422e-02
5.430750e-01	9.004220e-02
5.482250e-01	9.007876e-02
5.534120e-01	9.011395e-02
5.586250e-01	9.014768e-02
5.638870e-01	9.018004e-02
5.691880e-01	9.021094e-02
5.745120e-01	9.024025e-02
5.798880e-01	9.026808e-02
5.852880e-01	9.029427e-02
5.907380e-01	9.031889e-02
5.962130e-01	9.034181e-02
6.017370e-01	9.036310e-02
6.072880e-01	9.038263e-02
6.128880e-01	9.040045e-02
6.185250e-01	9.041649e-02
6.242000e-01	9.043073e-02
6.299120e-01	9.044313e-02
6.356620e-01	9.045368e-02
6.414500e-01	9.046235e-02
6.472870e-01	9.046913e-02
6.531620e-01	9.047397e-02
6.590750e-01	9.047687e-02
6.650250e-01	9.047780e-02
6.710250e-01	9.047674e-02
6.770630e-01	9.047368e-02
6.831370e-01	9.046861e-02
6.892630e-01	9.046149e-02
6.954250e-01	9.045233e-02
7.016380e-01	9.044111e-02
7.078870e-01	9.042782e-02
7.141750e-01	9.041247e-02
7.205130e-01	9.039503e-02
7.269000e-01	9.037548e-02
7.333250e-01	9.035385e-02
7.397880e-01	9.033016e-02
7.463000e-01	9.030437e-02
7.528630e-01	9.027646e-02
7.594620e-01	9.024651e-02
7.661130e-01	9.021446e-02
7.728120e-01	9.018032e-02
7.795620e-01	9.014409e-02
7.863500e-01	9.010586e-02
7.931870e-01	9.006559e-02
8.000750e-01	9.002326e-02
8.070000e-01	8.997900e-02
8.139870e-01	8.993267e-02
8.210120e-01	8.988443e-02
8.280880e-01	8.983424e-02
8.352130e-01	8.978214e-02
8.423870e-01	8.972815e-02
8.496120e-01	8.967228e-02
8.568880e-01	8.961458e-02
8.642130e-01	8.955509e-02
8.715880e-01	8.949384e-02
8.790250e-01	8.943077e-02
8.865000e-01	8.936612e-02
8.940370e-01	8.929974e-02
9.016130e-01	8.923186e-02
9.092500e-01	8.916235e-02
9.169370e-01	8.909134e-02
9.246880e-01	8.901876e-02
9.324750e-01	8.894493e-02
9.403250e-01	8.886963e-02
9.482370e-01	8.879295e-02
9.561870e-01	8.871516e-02
9.642120e-01	8.863597e-02
9.722750e-01	8.855580e-02
9.804000e-01	8.847447e-02
9.885870e-01	8.839206e-02
9.968250e-01	8.830873e-02
1.005130e+00	8.822440e-02
1.013470e+00	8.813946e-02
1.021890e+00	8.805352e-02
1.030350e+00	8.796705e-02
1.038890e+00	8.787973e-02
1.047470e+00	8.779204e-02
1.056110e+00	8.770385e-02
1.064830e+00	8.761503e-02
1.073590e+00	8.752607e-02
1.082420e+00	8.743675e-02
1.091310e+00	8.734723e-02
1.100260e+00	8.725761e-02
1.109270e+00	8.716797e-02
1.118350e+00	8.707829e-02
1.127490e+00	8.698875e-02
1.136690e+00	8.689944e-02
1.145950e+00	8.681044e-02
1.155290e+00	8.672164e-02
1.164670e+00	8.663352e-02
1.174140e+00	8.654568e-02
1.183660e+00	8.645859e-02
1.193250e+00	8.637215e-02
1.202910e+00	8.628644e-02
