#time(us)	value
1.000000e-03	9.997410e-01
1.020939e-03	9.992923e-01
1.042317e-03	1.002148e+00
1.064143e-03	9.995821e-01
1.086426e-03	9.998604e-01
1.109175e-03	1.000960e+00
1.132400e-03	1.000312e+00
1.156112e-03	9.994686e-01
1.180321e-03	1.000048e+00
1.205036e-03	9.990266e-01
1.230269e-03	9.998502e-01
1.256030e-03	1.000769e+00
1.282331e-03	9.999799e-01
1.309182e-03	1.000973e+00
1.336596e-03	9.997217e-01
1.364583e-03	9.976607e-01
1.393157e-03	1.000464e+00
1.422329e-03	9.982534e-01
1.452112e-03	9.994239e-01
1.482518e-03	1.000322e+00
1.513561e-03	9.985678e-01
1.545254e-03	1.000626e+00
1.577611e-03	1.002255e+00
1.610646e-03	9.978536e-01
1.644372e-03	9.985424e-01
1.678804e-03	1.000209e+00
1.713957e-03	9.979242e-01
1.749847e-03	9.977789e-01
1.786488e-03	1.000763e+00
1.823896e-03	1.000350e+00
1.862087e-03	1.000208e+00
1.901078e-03	9.988410e-01
1.940886e-03	9.991809e-01
1.981527e-03	9.989337e-01
2.023019e-03	9.989198e-01
2.065380e-03	1.000630e+00
2.108628e-03	9.990689e-01
2.152782e-03	1.001308e+00
2.197860e-03	1.000638e+00
2.243882e-03	1.001160e+00
2.290868e-03	9.976854e-01
2.338837e-03	1.000147e+00
2.387811e-03	9.997216e-01
2.437811e-03	9.994738e-01
2.488857e-03	1.000321e+00
2.540973e-03	1.000823e+00
2.594179e-03	1.001134e+00
2.648500e-03	1.000909e+00
2.703958e-03	9.989673e-01
2.760578e-03	9.981720e-01
2.818383e-03	9.976982e-01
2.877398e-03	1.000936e+00
2.937650e-03	9.999998e-01
2.999163e-03	1.000038e+00
3.061963e-03	1.000446e+00
3.126079e-03	9.985578e-01
3.191538e-03	1.000911e+00
3.258367e-03	9.995588e-01
3.326596e-03	9.986387e-01
3.396253e-03	9.992466e-01
3.467369e-03	1.000578e+00
3.539973e-03	9.988161e-01
3.614099e-03	1.001436e+00
3.689776e-03	1.000450e+00
3.767038e-03	9.976195e-01
3.845918e-03	9.997483e-01
3.926449e-03	9.991836e-01
4.008667e-03	1.000503e+00
4.092607e-03	9.980552e-01
4.178304e-03	9.991889e-01
4.265795e-03	9.972003e-01
4.355119e-03	9.982828e-01
4.446313e-03	9.991266e-01
4.539416e-03	9.962523e-01
4.634469e-03	9.990208e-01
4.731513e-03	9.997300e-01
4.830588e-03	9.981334e-01
4.931738e-03	9.977289e-01
5.035006e-03	9.986892e-01
5.140437e-03	9.979768e-01
5.248075e-03	9.992711e-01
5.357967e-03	9.978360e-01
5.470160e-03	9.970699e-01
5.584702e-03	9.993827e-01
5.701643e-03	9.970011e-01
5.821032e-03	9.974814e-01
5.942922e-03	9.976552e-01
6.067363e-03	9.986545e-01
6.194411e-03	9.974235e-01
6.324119e-03	9.981812e-01
6.456542e-03	9.983632e-01
6.591739e-03	9.981031e-01
6.729767e-03	9.976483e-01
6.870684e-03	9.956889e-01
7.014553e-03	9.969111e-01
7.161434e-03	9.978244e-01
7.311391e-03	9.967215e-01
7.464488e-03	9.987285e-01
7.620790e-03	9.978682e-01
7.780366e-03	9.961859e-01
7.943282e-03	9.978488e-01
8.109611e-03	9.975339e-01
8.279422e-03	9.959688e-01
8.452788e-03	9.987070e-01
8.629785e-03	9.975866e-01
8.810489e-03	9.981575e-01
8.994976e-03	9.970634e-01
9.183326e-03	9.996094e-01
9.375620e-03	9.972297e-01
9.571941e-03	9.970165e-01
9.772372e-03	9.977286e-01
9.977001e-03	9.975085e-01
1.018591e-02	9.978133e-01
1.039920e-02	9.948117e-01
1.061696e-02	9.956798e-01
1.083927e-02	9.957879e-01
1.106624e-02	9.961241e-01
1.129796e-02	9.966466e-01
1.153453e-02	9.959539e-01
1.177606e-02	9.960917e-01
1.202264e-02	9.967032e-01
1.227439e-02	9.966209e-01
1.253141e-02	9.948946e-01
1.279381e-02	9.962908e-01
1.306171e-02	9.970556e-01
1.333521e-02	9.961445e-01
1.361445e-02	9.980216e-01
1.389953e-02	9.966874e-01
1.419058e-02	9.967767e-01
1.448772e-02	9.957929e-01
1.479108e-02	9.950981e-01
1.510080e-02	9.976529e-01
1.541700e-02	9.960226e-01
1.573983e-02	9.962136e-01
1.606941e-02	9.960688e-01
1.640590e-02	9.956591e-01
1.674943e-02	9.950128e-01
1.710015e-02	9.950940e-01
1.745822e-02	9.951460e-01
1.782379e-02	9.935956e-01
1.819701e-02	9.953465e-01
1.857804e-02	9.964175e-01
1.896706e-02	9.927773e-01
1.936422e-02	9.940666e-01
1.976970e-02	9.946834e-01
2.018366e-02	9.952129e-01
2.060630e-02	9.924921e-01
2.103778e-02	9.950924e-01
2.147830e-02	9.935232e-01
2.192805e-02	9.919120e-01
2.238721e-02	9.934147e-01
2.285599e-02	9.919427e-01
2.333458e-02	9.913626e-01
2.382319e-02	9.915544e-01
2.432204e-02	9.937952e-01
2.483133e-02	9.920217e-01
2.535129e-02	9.921861e-01
2.588213e-02	9.914900e-01
2.642409e-02	9.923436e-01
2.697739e-02	9.923948e-01
2.754229e-02	9.914431e-01
2.811901e-02	9.909271e-01
2.870781e-02	9.900908e-01
2.930893e-02	9.901112e-01
2.992265e-02	9.910178e-01
3.054921e-02	9.898978e-01
3.118890e-02	9.891306e-01
3.184198e-02	9.896523e-01
3.250873e-02	9.906937e-01
3.318945e-02	9.886403e-01
3.388442e-02	9.905231e-01
3.459394e-02	9.893851e-01
3.531832e-02	9.898095e-01
3.605786e-02	9.891610e-01
3.681290e-02	9.897803e-01
3.758374e-02	9.888445e-01
3.837072e-02	9.896270e-01
3.917419e-02	9.883246e-01
3.999447e-02	9.879658e-01
4.083194e-02	9.894768e-01
4.168694e-02	9.891754e-01
4.255984e-02	9.872011e-01
4.345102e-02	9.880215e-01
4.436086e-02	9.868446e-01
4.528976e-02	9.856374e-01
4.623810e-02	9.855941e-01
4.720630e-02	9.876671e-01
4.819478e-02	9.844647e-01
4.920395e-02	9.868447e-01
5.023426e-02	9.847578e-01
5.128614e-02	9.833116e-01
5.236004e-02	9.866927e-01
5.345644e-02	9.850827e-01
5.457579e-02	9.834694e-01
5.571857e-02	9.830238e-01
5.688529e-02	9.825913e-01
5.807644e-02	9.837792e-01
5.929253e-02	9.819663e-01
6.053409e-02	9.824062e-01
6.180164e-02	9.803306e-01
6.309573e-02	9.797112e-01
6.441693e-02	9.823912e-01
6.576578e-02	9.826626e-01
6.714289e-02	9.818404e-01
6.854882e-02	9.797246e-01
6.998420e-02	9.794669e-01
7.144963e-02	9.776676e-01
7.294575e-02	9.776573e-01
7.447320e-02	9.784889e-01
7.603263e-02	9.773828e-01
7.762471e-02	9.784636e-01
7.925013e-02	9.772897e-01
8.090959e-02	9.764063e-01
8.260379e-02	9.768821e-01
8.433348e-02	9.756113e-01
8.609938e-02	9.739885e-01
8.790225e-02	9.734525e-01
8.974288e-02	9.734538e-01
9.162205e-02	9.709548e-01
9.354057e-02	9.726908e-01
9.549926e-02	9.726220e-01
9.749896e-02	9.697249e-01
9.954054e-02	9.699328e-01
1.016249e-01	9.702739e-01
1.037528e-01	9.693125e-01
1.059254e-01	9.696076e-01
1.081434e-01	9.684926e-01
1.104079e-01	9.674843e-01
1.127197e-01	9.678786e-01
1.150800e-01	9.670732e-01
1.174898e-01	9.670764e-01
1.199499e-01	9.654791e-01
1.224616e-01	9.666884e-01
1.250259e-01	9.656223e-01
1.276439e-01	9.660450e-01
1.303167e-01	9.627982e-01
1.330454e-01	9.639576e-01
1.358313e-01	9.597858e-01
1.386756e-01	9.598750e-01
1.415794e-01	9.593718e-01
1.445440e-01	9.600917e-01
1.475707e-01	9.569407e-01
1.506607e-01	9.588554e-01
1.538155e-01	9.560725e-01
1.570363e-01	9.561454e-01
1.603245e-01	9.542056e-01
1.636817e-01	9.538025e-01
1.671091e-01	9.530774e-01
1.706082e-01	9.514406e-01
1.741807e-01	9.515632e-01
1.778279e-01	9.496811e-01
1.815516e-01	9.487289e-01
1.853532e-01	9.485982e-01
1.892344e-01	9.478009e-01
1.931968e-01	9.473167e-01
1.972423e-01	9.462663e-01
2.013724e-01	9.459291e-01
2.055891e-01	9.461967e-01
2.098940e-01	9.400323e-01
2.142891e-01	9.395259e-01
2.187762e-01	9.403848e-01
2.233572e-01	9.394946e-01
2.280342e-01	9.383657e-01
2.328091e-01	9.356952e-01
2.376840e-01	9.354695e-01
2.426610e-01	9.344664e-01
2.477422e-01	9.348620e-01
2.529298e-01	9.329733e-01
2.582260e-01	9.318391e-01
2.636331e-01	9.299511e-01
2.691535e-01	9.289978e-01
2.747894e-01	9.264808e-01
2.805434e-01	9.250533e-01
2.864178e-01	9.231534e-01
2.924152e-01	9.239338e-01
2.985383e-01	9.226446e-01
3.047895e-01	9.205140e-01
3.111716e-01	9.183491e-01
3.176874e-01	9.185443e-01
3.243396e-01	9.138912e-01
3.311311e-01	9.145500e-01
3.380648e-01	9.130597e-01
3.451437e-01	9.114338e-01
3.523709e-01	9.075212e-01
3.597493e-01	9.086671e-01
3.672823e-01	9.068874e-01
3.749730e-01	9.059308e-01
3.828247e-01	9.031016e-01
3.908409e-01	9.013433e-01
3.990249e-01	9.007054e-01
4.073803e-01	9.002668e-01
4.159106e-01	8.969474e-01
4.246196e-01	8.937182e-01
4.335109e-01	8.923045e-01
4.425884e-01	8.910499e-01
4.518559e-01	8.910363e-01
4.613176e-01	8.877305e-01
4.709773e-01	8.844807e-01
4.808393e-01	8.825278e-01
4.909079e-01	8.811698e-01
5.011872e-01	8.800263e-01
5.116818e-01	8.792035e-01
5.223962e-01	8.757237e-01
5.333349e-01	8.726164e-01
5.445027e-01	8.730070e-01
5.559043e-01	8.706552e-01
5.675446e-01	8.687648e-01
5.794287e-01	8.673866e-01
5.915616e-01	8.663166e-01
6.039486e-01	8.617659e-01
6.165950e-01	8.594564e-01
6.295062e-01	8.586648e-01
6.426877e-01	8.550699e-01
6.561453e-01	8.549585e-01
6.698846e-01	8.539176e-01
6.839116e-01	8.498023e-01
6.982324e-01	8.453101e-01
