#timescale(s)	amplitude
inf	3.287602e-02
1.000000e+00	1.502263e-02
8.128305e-01	1.251119e-02
6.606934e-01	9.921374e-03
5.370318e-01	7.320164e-03
4.365158e-01	4.770865e-03
3.548134e-01	2.320851e-03
2.884032e-01	-5.371847e-06
2.344229e-01	-2.200242e-03
1.905461e-01	-4.250903e-03
1.548817e-01	-6.107006e-03
1.258925e-01	-7.655389e-03
1.023293e-01	-8.720262e-03
8.317638e-02	-9.096031e-03
6.760830e-02	-8.600553e-03
5.495409e-02	-7.121980e-03
4.466836e-02	-4.634560e-03
3.630781e-02	-1.181700e-03
2.951209e-02	3.148389e-03
2.398833e-02	8.227064e-03
1.949845e-02	1.386933e-02
1.584893e-02	1.982189e-02
1.288250e-02	2.576987e-02
1.047129e-02	3.134776e-02
8.511380e-03	3.613763e-02
6.918310e-03	3.967020e-02
5.623413e-03	4.146524e-02
4.570882e-03	4.112638e-02
3.715352e-03	3.846185e-02
3.019952e-03	3.357570e-02
2.454709e-03	2.688611e-02
1.995262e-03	1.906867e-02
1.621810e-03	1.095922e-02
1.318257e-03	3.455766e-03
1.071519e-03	-2.566605e-03
8.709636e-04	-6.344654e-03
7.079458e-04	-7.340551e-03
5.754399e-04	-5.368403e-03
4.677351e-04	-6.853217e-04
3.801894e-04	6.008146e-03
3.090295e-04	1.368374e-02
2.511886e-04	2.119494e-02
2.041738e-04	2.751695e-02
1.659587e-04	3.193954e-02
1.348963e-04	3.415240e-02
1.096478e-04	3.420690e-02
8.912509e-05	3.239254e-02
7.244360e-05	2.909979e-02
5.888437e-05	2.472853e-02
4.786301e-05	1.965799e-02
3.890451e-05	1.425756e-02
3.162278e-05	8.904804e-03
2.570396e-05	3.978818e-03
2.089296e-05	-1.843307e-04
1.698244e-05	-3.353348e-03
1.380384e-05	-5.431899e-03
1.122018e-05	-6.421070e-03
9.120108e-06	-6.332693e-03
7.413102e-06	-5.120780e-03
6.025596e-06	-2.691283e-03
4.897788e-06	1.007899e-03
3.981072e-06	5.873750e-03
3.235937e-06	1.158329e-02
2.630268e-06	1.761231e-02
2.137962e-06	2.331988e-02
1.737801e-06	2.805563e-02
1.412538e-06	3.126160e-02
1.148154e-06	3.256301e-02
9.332543e-07	3.184029e-02
7.585776e-07	2.926091e-02
6.165950e-07	2.525077e-02
5.011872e-07	2.040543e-02
4.073803e-07	1.536202e-02
3.311311e-07	1.066686e-02
2.691535e-07	6.679931e-03
2.187762e-07	3.547987e-03
1.778279e-07	1.246768e-03
1.445440e-07	-3.442164e-04
1.174898e-07	-1.376378e-03
9.549926e-08	-1.988846e-03
7.762471e-08	-2.275733e-03
6.309573e-08	-2.263151e-03
5.128614e-08	-1.918837e-03
4.168694e-08	-1.211450e-03
3.388442e-08	-1.955640e-04
2.754229e-08	9.387907e-04
2.238721e-08	1.902768e-03
1.819701e-08	2.422254e-03
1.479108e-08	2.358986e-03
1.202264e-08	1.763802e-03
9.772372e-09	8.375159e-04
7.943282e-09	-1.642333e-04
6.456542e-09	-1.021746e-03
5.248075e-09	-1.597188e-03
4.265795e-09	-1.833953e-03
3.467369e-09	-1.735038e-03
2.818383e-09	-1.345612e-03
2.290868e-09	-7.448054e-04
1.862087e-09	-3.698925e-05
1.513561e-09	6.635641e-04
1.230269e-09	1.250772e-03
