#time(s)	value
1.000000e-09	9.075484e-01
1.020939e-09	9.073780e-01
1.042317e-09	9.072071e-01
1.064143e-09	9.070358e-01
1.086426e-09	9.068641e-01
1.109175e-09	9.066922e-01
1.132400e-09	9.065200e-01
1.156112e-09	9.063478e-01
1.180321e-09	9.061755e-01
1.205036e-09	9.060033e-01
1.230269e-09	9.058312e-01
1.256030e-09	9.056594e-01
1.282331e-09	9.054879e-01
1.309182e-09	9.053168e-01
1.336596e-09	9.051462e-01
1.364583e-09	9.049763e-01
1.393157e-09	9.048070e-01
1.422329e-09	9.046386e-01
1.452112e-09	9.044712e-01
1.482518e-09	9.043048e-01
1.513561e-09	9.041395e-01
1.545254e-09	9.039755e-01
1.577611e-09	9.038129e-01
1.610646e-09	9.036518e-01
1.644372e-09	9.034922e-01
1.678804e-09	9.033345e-01
1.713957e-09	9.031785e-01
1.749847e-09	9.030245e-01
1.786488e-09	9.028726e-01
1.823896e-09	9.027230e-01
1.862087e-09	9.025756e-01
1.901078e-09	9.024307e-01
1.940886e-09	9.022884e-01
1.981527e-09	9.021488e-01
2.023019e-09	9.020120e-01
2.065380e-09	9.018781e-01
2.108628e-09	9.017473e-01
2.152782e-09	9.016197e-01
2.197860e-09	9.014954e-01
2.243882e-09	9.013744e-01
2.290868e-09	9.012571e-01
2.338837e-09	9.011433e-01
2.387811e-09	9.010333e-01
2.437811e-09	9.009272e-01
2.488857e-09	9.008250e-01
2.540973e-09	9.007269e-01
2.594179e-09	9.006329e-01
2.648500e-09	9.005432e-01
2.703958e-09	9.004579e-01
2.760578e-09	9.003769e-01
2.818383e-09	9.003005e-01
2.877398e-09	9.002287e-01
2.937650e-09	9.001615e-01
2.999163e-09	9.000991e-01
3.061963e-09	9.000414e-01
3.126079e-09	8.999886e-01
3.191538e-09	8.999407e-01
3.258367e-09	8.998977e-01
3.326596e-09	8.998596e-01
3.396253e-09	8.998266e-01
3.467369e-09	8.997985e-01
3.539973e-09	8.997755e-01
3.614099e-09	8.997575e-01
3.689776e-09	8.997446e-01
3.767038e-09	8.997366e-01
3.845918e-09	8.997337e-01
3.926449e-09	8.997357e-01
4.008667e-09	8.997427e-01
4.092607e-09	8.997546e-01
4.178304e-09	8.997713e-01
4.265795e-09	8.997928e-01
4.355119e-09	8.998190e-01
4.446313e-09	8.998499e-01
4.539416e-09	8.998854e-01
4.634469e-09	8.999253e-01
4.731513e-09	8.999696e-01
4.830588e-09	9.000181e-01
4.931738e-09	9.000708e-01
5.035006e-09	9.001275e-01
5.140437e-09	9.001881e-01
5.248075e-09	9.002525e-01
5.357967e-09	9.003205e-01
5.470160e-09	9.003919e-01
5.584702e-09	9.004666e-01
5.701643e-09	9.005444e-01
5.821032e-09	9.006252e-01
5.942922e-09	9.007088e-01
6.067363e-09	9.007949e-01
6.194411e-09	9.008834e-01
6.324119e-09	9.009742e-01
6.456542e-09	9.010669e-01
6.591739e-09	9.011614e-01
6.729767e-09	9.012576e-01
6.870684e-09	9.013551e-01
7.014553e-09	9.014537e-01
7.161434e-09	9.015534e-01
7.311391e-09	9.016537e-01
7.464488e-09	9.017546e-01
7.620790e-09	9.018557e-01
7.780366e-09	9.019569e-01
7.943282e-09	9.020580e-01
8.109611e-09	9.021587e-01
8.279422e-09	9.022587e-01
8.452788e-09	9.023579e-01
8.629785e-09	9.024561e-01
8.810489e-09	9.025530e-01
8.994976e-09	9.026484e-01
9.183326e-09	9.027421e-01
9.375620e-09	9.028339e-01
9.571941e-09	9.029235e-01
9.772372e-09	9.030108e-01
9.977001e-09	9.030956e-01
1.018591e-08	9.031775e-01
1.039920e-08	9.032566e-01
1.061696e-08	9.033324e-01
1.083927e-08	9.034050e-01
1.106624e-08	9.034740e-01
1.129796e-08	9.035394e-01
1.153453e-08	9.036008e-01
1.177606e-08	9.036582e-01
1.202264e-08	9.037114e-01
1.227439e-08	9.037603e-01
1.253141e-08	9.038046e-01
1.279381e-08	9.038443e-01
1.306171e-08	9.038792e-01
1.333521e-08	9.039092e-01
1.361445e-08	9.039341e-01
1.389953e-08	9.039538e-01
1.419058e-08	9.039682e-01
1.448772e-08	9.039773e-01
1.479108e-08	9.039808e-01
1.510080e-08	9.039787e-01
1.541700e-08	9.039710e-01
1.573983e-08	9.039575e-01
1.606941e-08	9.039382e-01
1.640590e-08	9.039130e-01
1.674943e-08	9.038819e-01
1.710015e-08	9.038447e-01
1.745822e-08	9.038015e-01
1.782379e-08	9.037521e-01
1.819701e-08	9.036967e-01
1.857804e-08	9.036351e-01
1.896706e-08	9.035673e-01
1.936422e-08	9.034933e-01
1.976970e-08	9.034131e-01
2.018366e-08	9.033266e-01
2.060630e-08	9.032340e-01
2.103778e-08	9.031352e-01
2.147830e-08	9.030301e-01
2.192805e-08	9.029189e-01
2.238721e-08	9.028016e-01
2.285599e-08	9.026780e-01
2.333458e-08	9.025484e-01
2.382319e-08	9.024127e-01
2.432204e-08	9.022710e-01
2.483133e-08	9.021233e-01
2.535129e-08	9.019696e-01
2.588213e-08	9.018101e-01
2.642409e-08	9.016446e-01
2.697739e-08	9.014734e-01
2.754229e-08	9.012964e-01
2.811901e-08	9.011138e-01
2.870781e-08	9.009254e-01
2.930893e-08	9.007316e-01
2.992265e-08	9.005321e-01
3.054921e-08	9.003273e-01
3.118890e-08	9.001170e-01
3.184198e-08	8.999014e-01
3.250873e-08	8.996806e-01
3.318945e-08	8.994545e-01
3.388442e-08	8.992232e-01
3.459394e-08	8.989869e-01
3.531832e-08	8.987455e-01
3.605786e-08	8.984992e-01
3.681290e-08	8.982479e-01
3.758374e-08	8.979917e-01
3.837072e-08	8.977307e-01
3.917419e-08	8.974649e-01
3.999447e-08	8.971944e-01
4.083194e-08	8.969192e-01
4.168694e-08	8.966393e-01
4.255984e-08	8.963548e-01
4.345102e-08	8.960657e-01
4.436086e-08	8.957720e-01
4.528976e-08	8.954738e-01
4.623810e-08	8.951710e-01
4.720630e-08	8.948637e-01
4.819478e-08	8.945518e-01
4.920395e-08	8.942355e-01
5.023426e-08	8.939146e-01
5.128614e-08	8.935891e-01
5.236004e-08	8.932591e-01
5.345644e-08	8.929246e-01
5.457579e-08	8.925854e-01
5.571857e-08	8.922416e-01
5.688529e-08	8.918931e-01
5.807644e-08	8.915398e-01
5.929253e-08	8.911818e-01
6.053409e-08	8.908190e-01
6.180164e-08	8.904512e-01
6.309573e-08	8.900784e-01
6.441693e-08	8.897006e-01
6.576578e-08	8.893176e-01
6.714289e-08	8.889294e-01
6.854882e-08	8.885358e-01
6.998420e-08	8.881368e-01
7.144963e-08	8.877322e-01
7.294575e-08	8.873220e-01
7.447320e-08	8.869059e-01
7.603263e-08	8.864838e-01
7.762471e-08	8.860557e-01
7.925013e-08	8.856213e-01
8.090959e-08	8.851806e-01
8.260379e-08	8.847333e-01
8.433348e-08	8.842793e-01
8.609938e-08	8.838184e-01
8.790225e-08	8.833504e-01
8.974288e-08	8.828752e-01
9.162205e-08	8.823926e-01
9.354057e-08	8.819024e-01
9.549926e-08	8.814043e-01
9.749896e-08	8.808982e-01
9.954054e-08	8.803839e-01
1.016249e-07	8.798612e-01
1.037528e-07	8.793298e-01
1.059254e-07	8.787896e-01
1.081434e-07	8.782402e-01
1.104079e-07	8.776816e-01
1.127197e-07	8.771134e-01
1.150800e-07	8.765354e-01
1.174898e-07	8.759474e-01
1.199499e-07	8.753492e-01
1.224616e-07	8.747405e-01
1.250259e-07	8.741211e-01
1.276439e-07	8.734907e-01
1.303167e-07	8.728492e-01
1.330454e-07	8.721962e-01
1.358313e-07	8.715316e-01
1.386756e-07	8.708550e-01
1.415794e-07	8.701663e-01
1.445440e-07	8.694652e-01
1.475707e-07	8.687515e-01
1.506607e-07	8.680250e-01
1.538155e-07	8.672854e-01
1.570363e-07	8.665325e-01
